model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_0d2628dae4ed1e9d,算法工作经验,Partial,Missing,resume_extracted:22|resume_extracted:29,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
qwen3.8-max,tencent:2036621556322562048,腾讯,reqv2_1125bb9c519be4f4,掌握语音产品性能评估方法,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
qwen3.8-max,tencent:2036621556322562048,腾讯,reqv2_e913e8618fce3ef0,用户感知力与问题发现解决能力,Strong,Partial,resume_extracted:27|resume_extracted:19,resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:23|resume_extracted:28,True,在银行实习中分析客户反馈并提出服务体验优化建议，且在AI产品中负责客户反馈收集与竞品用户体验分析，体现一定用户感知与问题发现能力，但尚未见针对语音产品体验的极致追求或主动闭环解决案例。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_5dfabc3bf0e9566f,具有 AI 原生或 Agent 产品完整落地经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,GoFin 项目涉及 LLM 集成与 RAG，中国电子云实习探索大模型应用方向，但均为参与或 PO 角色，未体现作为产品经理完整主导 AI 原生或 Agent 产品落地的全流程闭环。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_d51e7d995d268f8f,产品判断力与用户共情能力,Strong,Partial,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:27|resume_extracted:23|resume_extracted:resume:1:product_experience:7,True,有客户反馈分析、竞品分析及用户体验维度评估的经历，体现了基础的用户共情与产品判断意识，但缺乏在复杂场景下做出关键产品决策或深度洞察的具体案例支撑。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_2aa26881dbfb4a32,设计可扩展方案并推动跨团队闭环,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:18,True,简历提及跨职能团队协调及数据架构设计，显示具备协同与方案设计基础，但未具体描述如何设计可扩展产品方案并推动跨团队实现高效闭环的实际成效。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_07a1d9a0a5524dc6,数据驱动与 AI 评测能力,Partial,Strong,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:29|resume_extracted:resume:1:ai_experience:11|resume_extracted:22|resume_extracted:19,True,拥有模型训练评估、情感分析项目经验，且简历明确列出模型性能评估技能，结合 KPay 数据清洗与特征工程经历，充分证明具备设计数据集及运用科学方法评估 AI 效果的能力。,misclassification
qwen3.8-max,tencent:2013806539382611968,腾讯,reqv2_91500289fe78e7b4,数据开发 / 分析 / SQL / 指标体系 / 元数据 / 数据血缘 / 数据质量,Partial,Strong,resume_extracted:18|resume_extracted:19|resume_extracted:resume:1:skills:4,resume_extracted:18|resume_extracted:19|resume_extracted:30|resume_extracted:resume:1:skills:4,True,候选人在KPay实习中搭建ETL、设计SQL触发器并建立KPI监控体系，且在个人项目中处理百万级数据，直接证明了数据开发、SQL及指标体系建设能力。,misclassification
qwen3.8-max,tencent:2013806539382611968,腾讯,reqv2_d9a6fa37fdf720f1,将数据工作流抽象为可执行可评估的产品方案,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:28|resume_extracted:16|resume_extracted:resume:1:technical_experience:8,True,候选人有GoFin平台Product Owner经历及数据架构设计经验，但现有证据侧重于业务增长策略与通用产品交付，缺乏将‘数据工作流’本身抽象为标准化、可评估的数据产品方案的直接案例。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_b6cf969fde1203cf,数据产品策划或运营经验,Partial,Strong,resume_extracted:16|resume_extracted:18|resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:21|resume_extracted:resume:1:product_experience:9,True,作为GoFin产品负责人主导需求与LLM集成，并在KPay从事增长运营与渠道策略设计，兼具数据产品策划与运营实战经验。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_468aa07a31e8d40c,LLM、Prompt、RAG 与 Agent 实践经验,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,在GoFin项目中负责LLM集成与RAG应用，在中国电子云探索大模型应用方向，且简历明确列出大语言模型应用开发与RAG文件分析经历。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_892a54d1bde059a0,评估 AI 方案的业务价值与可行性,Strong,Partial,resume_extracted:21|resume_extracted:28,resume_extracted:23|resume_extracted:21|resume_extracted:resume:1:ai_experience:11,True,有竞品分析和模型性能评估经验，但缺乏结合具体业务场景量化AI方案商业价值或可行性论证的直接证据。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_dc5ab6550342d109,金融行业相关从业经验,Strong,Partial,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,resume_extracted:26|resume_extracted:24|resume_extracted:resume:1:domain_experience:0,True,具有银行实习与金融科技领域经历，涉及合规核对与金融服务，但未直接体现反洗钱、支付风控等核心金融从业经验。,misclassification
qwen3.8-max,tencent:2078278970276753408,腾讯,reqv2_f982055a8756f25d,熟悉企业经营管理流程,Missing,Partial,,resume_extracted:28|resume_extracted:26|resume_extracted:16,True,候选人有产品流程管理和银行合规审核经验，但未直接涉及企业经营管理全流程；现有证据仅体现局部业务流转与合规操作，缺乏完整的企业经营管理体系认知证明。,misclassification
qwen3.8-max,tencent:2041409199149314048,腾讯,reqv2_2a8d6b3110257858,AI / 策略 / 评测产品相关经验,Partial,Strong,resume_extracted:28|resume_extracted:21,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:23,True,候选人在中国电子云担任AI大模型实习生并作为GoFin平台Product Owner负责LLM集成与RAG，具备直接的AI产品与评测相关实战经验。,misclassification
qwen3.8-max,tencent:2041409199149314048,腾讯,reqv2_23a50d8ef3c57335,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,True,候选人有大模型应用开发与智能对话（RAG/LLM集成）经验，但缺少ASR、AI搜索及语音助手方向的直接证据，仅满足部分细分领域要求。,misclassification
qwen3.8-max,huawei:28183,华为,reqv2_a7e657643b65384a,快速掌握新技术的能力,Partial,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:29,resume_extracted:21|resume_extracted:29|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:education:0,True,在中国电子云实习期间探索大模型应用方向，个人完成NLP情感分析项目，且攻读AI双硕士，证明能快速掌握并应用LLM、RAG等新技术。,misclassification
qwen3.8-max,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,reqv2_0b5191a0696ab0a6,内容审美直觉与可拆解方法论,Missing,Partial,,resume_extracted:23|resume_extracted:29|resume_extracted:resume:1:product_experience:7,True,候选人有竞品分析、情感分析及客户反馈分析经验，体现了对用户体验和内容质量的评估能力，但缺乏针对“好内容”的专门审美直觉与可拆解的创作方法论证据。,misclassification
qwen3.8-max,tencent:2083093175941115904,腾讯,reqv2_b741297aa944df7f,用户增长、增长运营或内容平台产品经验,Strong,Partial,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,resume_extracted:16|resume_extracted:resume:1:domain_experience:3,True,候选人有明确的增长运营实习经历和领域标签，但缺乏内容平台产品相关经验，仅满足部分替代条件。,misclassification
