order,job_id,company,job_title,city,role_category,language,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,v1_ref,job_ai_overall_fit_suggestion,job_human_match_fit,job_human_overall_fit
2,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,ai_product,Chinese,reqv2_e0d891d785e65c39,有对话/推荐/搜索、知识管理、开放平台/插件/Agent/MCP 生态、AI 效率工具等相关产品经验者优先。,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,具备对话式 Agent、RAG 与 AI 工具经验，但没有开放平台、插件或 MCP 生态的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,具备对话式 Agent、RAG 与 AI 工具经验，但没有开放平台、插件或 MCP 生态的明确证据。,,accept,,accepted,R08(Preferred/Partial),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_0d9131868b5ea866,3年以上互联网产品经验，有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,三年以上互联网产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足三年职业产品经验；不将项目折算为职业年限。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证经历为若干实习与项目，明显不足三年职业产品经验；不将项目折算为职业年限。,,accept,,accepted,R01(Critical/Partial),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_5dfabc3bf0e9566f,有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,具有 AI 原生或 Agent 产品完整落地经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 是完整交付的 LLM/对话式产品，覆盖需求到迭代落地。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 是完整交付的 LLM/对话式产品，覆盖需求到迭代落地。,,accept,,accepted,R02(Important/Strong),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_8a7ced10d1e674e6,具备从0到1主导项目并取得可验证成果的经历；,从 0 到 1 主导项目并取得可验证成果,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28,Product Owner 经历支持从需求到交付的主导，但材料没有独立量化该产品的业务成果。,accepted AI taxonomy,Partial,,resume_extracted:28,Product Owner 经历支持从需求到交付的主导，但材料没有独立量化该产品的业务成果。,,accept,,accepted,R03(Important/Partial),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_062e201cf241f5a9,对证券业务有深刻理解或极强的学习意愿；,理解证券业务,requirements,matchable,Important,,,,true,Partial,,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,金融科技教育与基金、股票产品实践与证券相邻，但不足以证明对证券业务的深刻理解。,accepted AI taxonomy,Partial,,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,金融科技教育与基金、股票产品实践与证券相邻，但不足以证明对证券业务的深刻理解。,,accept,,accepted,R04(Important/Partial) 的“理解证券业务”部分,4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_672bbf0c117235a4,深入了解大模型、Agent、RAG等技术的原理、能力边界与应用场景，能前瞻性思考技术趋势与业务结合的创新点；,深入理解大模型、Agent、RAG 的原理与能力边界,requirements,knowledge,Important,,大模型原理|Agent 原理|RAG 原理|模型能力边界,要求理解大模型/Agent/RAG 的原理、能力边界与适用场景。属于理论理解，履历证据可证明实践（另见 R02、Job6 R06），但难以稳定证明原理与能力边界的掌握深度。,false,N/A,,,,accepted AI taxonomy,N/A,,,,,accept,,accepted,R05(Important/Strong),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_d51e7d995d268f8f,具备优秀的产品判断力与用户共情能力，,产品判断力与用户共情能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,需求分析、客户反馈与用户测试迭代记录直接支持该能力。,accepted AI taxonomy,Strong,,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,需求分析、客户反馈与用户测试迭代记录直接支持该能力。,,accept,,accepted,R06(Important/Strong),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_2aa26881dbfb4a32,设计稳健、可扩展的产品方案与协同流程，并推动跨团队项目高效闭环；,设计可扩展方案并推动跨团队闭环,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,GoFin 的结构化流程、跨职能协调与迭代交付直接覆盖该要求。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,GoFin 的结构化流程、跨职能协调与迭代交付直接覆盖该要求。,,accept,,accepted,R07(Important/Strong),4,4,4
3,tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,reqv2_07a1d9a0a5524dc6,有较好的数据驱动与科学评估能力，能设计并运用数据集/评测集等科学评估方法来衡量与推动Ai体验的效果，,数据驱动与 AI 评测能力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,具备 KPI、训练数据与模型评估经验，但未明确证明独立设计 AI 产品评测集。,accepted AI taxonomy,Partial,,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,具备 KPI、训练数据与模型评估经验，但未明确证明独立设计 AI 产品评测集。,,accept,,accepted,R08(Important/Partial),4,4,4
4,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,reqv2_6edf5f6bcf57e922,"2+ years working on a dedicated AI product team, shipping AI features as a core member.",至少两年专职 AI 产品团队经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证的 AI 产品经历为短期实习与项目，明显不足两年专职 AI 产品团队经验。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证的 AI 产品经历为短期实习与项目，明显不足两年专职 AI 产品团队经验。,,accept,,accepted,R01(Critical/Partial),3,3,3
4,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,reqv2_7d915e68d837899a,"Hands-on experience designing, delivering, or continuously improving AI Agent products, including prompt/context engineering, human-in-the-loop workflows, and AI quality evaluation.",AI Agent 设计交付、上下文工程、人机协同与质量评估的动手经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,GoFin 的对话流程、用户确认（human-in-the-loop）、上下文管理、迭代交付与模型评估覆盖主要动手组成部分。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:11|resume_extracted:resume:1:ai_experience:4,已有 AI/LLM 产品交付、RAG 与模型评估实践，但冻结证据不足以直接证明 prompt/context engineering 与 human-in-the-loop workflow 的完整实践覆盖，因此整体应为 Partial 而非 Strong。,AI 建议 Strong → 人工改为 Partial；保留原有有效证据。,accept,,edited,R02(Important/Strong),3,3,3
4,veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,reqv2_9c1610fa5e9a8954,"Experience with enterprise SaaS products, configurable platforms, or multi-tenant product environments.",企业 SaaS、可配置平台或多租户产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28,有可配置的财务平台产品经历，但没有企业 SaaS 或多租户环境的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:28,有可配置的财务平台产品经历，但没有企业 SaaS 或多租户环境的明确证据。,,accept,,accepted,R03(Preferred/Partial),3,3,3
5,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,reqv2_22af6534bda203ba,本科及以上学历,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证的软件工程本科与在读硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证的软件工程本科与在读硕士教育记录直接满足本科及以上学历。,,accept,,accepted,R01(Critical/Strong),4,4,4
5,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,reqv2_2343bb0459a84cdc,实习时间不少于五个月,可连续实习至少五个月,requirements,eligibility,Critical,other,,,false,,Unknown,,历史上完成过五个月实习，但没有已确认的未来可实习时长/可用性事实；缺少证据不等于不满足。,accepted AI taxonomy,,Unknown,,历史上完成过五个月实习，但没有已确认的未来可实习时长/可用性事实；缺少证据不等于不满足。,,accept,,accepted,R02(Critical/Missing),4,4,4
5,baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,reqv2_4221bc9552f276d2,热爱互联网，有互联网实习经历优先,互联网相关实习经历,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:21,已验证的增长运营与 AI 大模型实习均属于相关互联网业务经历。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:21,已验证的增长运营与 AI 大模型实习均属于相关互联网业务经历。,,accept,,accepted,R04(Preferred/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_a6ad3fd74c22598d,了解数仓架构，熟悉数据开发和治理流程，熟练应用SQL语言；,理解数仓架构、熟悉数据开发与治理流程,requirements,matchable,Important,,,,true,Partial,,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,有数据架构与自动化 ETL 实践，但没有数据仓库及数据治理全流程的明确证据。,accepted AI taxonomy,Partial,,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,有数据架构与自动化 ETL 实践，但没有数据仓库及数据治理全流程的明确证据。,,accept,,accepted,R01(Important/Partial),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_b6da57f753507117,熟练应用SQL语言；,熟练使用 SQL,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器、归因逻辑项目提供直接实践支持（edge case A：熟练使用 SQL → matchable）。,accepted AI taxonomy,Strong,,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录与 SQL 触发器、归因逻辑项目提供直接实践支持（edge case A：熟练使用 SQL → matchable）。,,accept,,accepted,R02(Important/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_b6cf969fde1203cf,有数据产品策划运营经验，,数据产品策划或运营经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:16|resume_extracted:18|resume_extracted:28,兼有数据体系、运营与产品策划经历，但未以数据产品经理身份负责完整产品。,accepted AI taxonomy,Partial,,resume_extracted:16|resume_extracted:18|resume_extracted:28,兼有数据体系、运营与产品策划经历，但未以数据产品经理身份负责完整产品。,,accept,,accepted,R03(Important/Partial),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_8e372cde74f05aee,具备良好的逻辑思维和数据分析能力、,逻辑思维与数据分析能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析与百万级数据项目提供多项直接证据。,,accept,,accepted,R04(Important/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_ffe28d59054b4e26,优秀的沟通与项目管理能力，,沟通与项目管理能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,Product Owner 项目包含客户汇报、优先级管理与跨团队交付。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,Product Owner 项目包含客户汇报、优先级管理与跨团队交付。,,accept,,accepted,R05(Important/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_468aa07a31e8d40c,熟悉大模型（LLM）和AI应用，具备Prompt工程、RAG、Agent等实践经验，,LLM、Prompt、RAG 与 Agent 实践经验,requirements,matchable,Important,,,,true,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM、RAG 与对话式 Agent 证据明确，但没有单独、可验证的 Prompt 工程事实。JD 未要求原理/能力边界，故不拆分 knowledge（decision F）。,accepted AI taxonomy,Partial,,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM、RAG 与对话式 Agent 证据明确，但没有单独、可验证的 Prompt 工程事实。JD 未要求原理/能力边界，故不拆分 knowledge（decision F）。,,accept,,accepted,R06(Important/Partial),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_892a54d1bde059a0,能结合业务场景评估AI方案的价值和可行性；,评估 AI 方案的业务价值与可行性,requirements,matchable,Important,,,,true,Strong,,resume_extracted:21|resume_extracted:28,两段经历均记录从用户/业务场景出发探索并落地大模型方案。,accepted AI taxonomy,Strong,,resume_extracted:21|resume_extracted:28,两段经历均记录从用户/业务场景出发探索并落地大模型方案。,,accept,,accepted,R07(Important/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_dc5ab6550342d109,有金融行业相关从业经验加分，如反洗钱、支付、风控、金融合规等；,金融行业相关从业经验,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,支付、银行、金融产品与合规经历直接覆盖多个列举场景（edge case G：金融行业经验优先 → matchable + Preferred）。,accepted AI taxonomy,Strong,,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,支付、银行、金融产品与合规经历直接覆盖多个列举场景（edge case G：金融行业经验优先 → matchable + Preferred）。,,accept,,accepted,R08(Preferred/Strong),4,4,4
6,tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,reqv2_c69557b2d2e39287,岗位需具备一定技术背景，,具备技术背景,requirements,matchable,Important,,,,true,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程本科与 SQL、Python、数据建模项目直接支持技术背景。,accepted AI taxonomy,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程本科与 SQL、Python、数据建模项目直接支持技术背景。,,accept,,accepted,R09(Important/Strong),4,4,4
7,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,reqv2_d65a91721a2406a6,三年以上工作经验,三年以上工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年工作经验。来源为冻结数据集的结构化 experience_requirement 字段。,accepted AI taxonomy,,PotentialGap,,候选人为 2027 届应届，已验证经历为实习与项目，明显不足三年工作经验。来源为冻结数据集的结构化 experience_requirement 字段。,,accept,,accepted,R01(Critical/Partial),3,4,4
7,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,reqv2_2c48e151d8271b86,对产品设计有饱满热情，在功能策划上有一定经验和能力；,产品设计与功能策划经验,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 中的流程、功能与迭代交付是直接的产品策划证据。,accepted AI taxonomy,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 中的流程、功能与迭代交付是直接的产品策划证据。,,accept,,accepted,R02(Important/Strong) 的能力部分,3,4,4
7,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,reqv2_593ead863ea05b72,善于观察和分析，善于发现关键问题，分清主次矛盾，,观察分析并识别关键问题,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,业务分析、转化路径优化与客户反馈分析直接支持问题识别。,accepted AI taxonomy,Strong,,resume_extracted:19|resume_extracted:20|resume_extracted:27,业务分析、转化路径优化与客户反馈分析直接支持问题识别。,,accept,,accepted,R03(Important/Strong),3,4,4
7,tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,reqv2_595484b60afecce0,具备很好的逻辑抽象能力，和框架系统思考的能力；,逻辑抽象与系统思考能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程设计提供具体的系统化证据。,accepted AI taxonomy,Strong,,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构与结构化产品流程设计提供具体的系统化证据。,,accept,,accepted,R04(Important/Strong),3,4,4
8,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,reqv2_19cb5767e509c144,-本科及以上学历，戏剧影视文学、创意写作、文学等相关专业优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与硕士教育记录直接满足本科及以上学历。,,accept,,accepted,R01(Critical/Strong),2,2,2
8,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,reqv2_8c4d70d605961309,-本科及以上学历，戏剧影视文学、创意写作、文学等相关专业优先,戏剧影视文学、创意写作或文学相关专业,preferred,matchable,Preferred,,,,true,Missing,,,已验证专业为软件工程、金融科技与信息技术，没有戏剧影视文学/创意写作/文学相关专业证据。,accepted AI taxonomy,Missing,,,已验证专业为软件工程、金融科技与信息技术，没有戏剧影视文学/创意写作/文学相关专业证据。,,accept,,accepted,R02(Preferred/Missing),2,2,2
8,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,reqv2_6357d38814ca4445,-行业理解：深刻理解小说、剧本、直播脚本的创作全流程，,理解小说、剧本及直播脚本的创作全流程,requirements,matchable,Important,,,,true,Missing,,,当前已验证证据中没有内容创作流程经历。,accepted AI taxonomy,Missing,,,当前已验证证据中没有内容创作流程经历。,,accept,,accepted,R03(Important/Missing),2,2,2
8,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,reqv2_0b5191a0696ab0a6,对“什么是好内容”有敏锐的直觉与可拆解的方法论,内容审美直觉与可拆解方法论,requirements,matchable,Important,,,,true,Missing,,,没有可验证的内容审美、编剧或创意方法论证据。,accepted AI taxonomy,Missing,,,没有可验证的内容审美、编剧或创意方法论证据。,,accept,,accepted,R04(Important/Missing),2,2,2
