job_id,company,title,city,role_category,language,requirement_id,source_text,normalized_requirement,source_section,importance_suggestion,match_label_suggestion,evidence_ids_suggestion,grounding_reason_suggestion,human_requirement,human_importance,human_match_label,human_evidence_ids,human_overall_fit,review_status,reviewer_notes,job_overall_fit_suggestion
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R03,具备从0到1主导项目并取得可验证成果的经历,从 0 到 1 主导项目并取得可验证成果,requirements_text,Important,Partial,resume_extracted:28,Product Owner 经历支持从需求到交付的主导，但材料没有独立量化该产品的业务成果。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R04,对证券业务有深刻理解或极强的学习意愿,理解证券业务或具备强学习意愿,requirements_text,Important,Partial,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,金融科技教育和基金、股票产品实践与证券相邻，但不足以证明对证券业务的深刻理解。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R05,深入了解大模型、Agent、RAG等技术的原理、能力边界与应用场景,理解 LLM、Agent、RAG 原理与应用边界,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM 集成、对话式 Agent 与 RAG 文件分析是直接且成体系的应用证据。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R06,具备优秀的产品判断力与用户共情能力,产品判断与用户共情能力,requirements_text,Important,Strong,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,需求分析、客户反馈和用户测试迭代记录直接支持该能力。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R07,设计稳健、可扩展的产品方案与协同流程，并推动跨团队项目高效闭环,设计可扩展方案并推动跨团队闭环,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,GoFin 的结构化流程、跨职能协调和迭代交付直接覆盖该要求。,,,,,,pending,,4
tencent:2052527703940313088,腾讯,证券-AI产品经理-金融AI应用体验方向,深圳,ai_product,Chinese,R08,有较好的数据驱动与科学评估能力，能设计并运用数据集/评测集等科学评估方法,数据驱动与 AI 评测能力,requirements_text,Important,Partial,resume_extracted:19|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,具备 KPI、训练数据与模型评估经验，但未明确证明独立设计 AI 产品评测集。,,,,,,pending,,4
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,R01,"2+ years working on a dedicated AI product team, shipping AI features as a core member.",至少两年专职 AI 产品团队经验,requirements_text,Critical,Partial,resume_extracted:21|resume_extracted:28,有直接 AI 产品团队交付经历，但已验证经历不足两年。,,,,,,pending,,3
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,R02,"Hands-on experience designing, delivering, or continuously improving AI Agent products, including prompt/context engineering, human-in-the-loop workflows, and AI quality evaluation.",AI Agent 设计交付、上下文工程、人机协同与质量评估经验,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:11,GoFin 的对话流程、用户确认、上下文管理、迭代交付与模型评估覆盖主要组成部分。,,,,,,pending,,3
veeva:8ae64dee-34a9-4e69-84ef-b91bcde3f35f,Veeva,Senior Product Manager - AI Agent,上海,ai_product,English,R03,"Experience with enterprise SaaS products, configurable platforms, or multi-tenant product environments.",企业 SaaS、可配置平台或多租户产品经验,preferred_requirements_text,Preferred,Partial,resume_extracted:28,有可配置的财务平台产品经历，但没有企业 SaaS 或多租户环境的明确证据。,,,,,,pending,,3
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,R01,本科及以上学历,本科及以上学历,requirements_text,Critical,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证的软件工程本科和硕士教育记录直接满足。,,,,,,pending,,4
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,R02,实习时间不少于五个月,可连续实习至少五个月,requirements_text,Critical,Missing,,现有经历证明曾完成实习，但没有已确认的未来可实习时长或可用性证据。,,,,,,pending,,4
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,R03,热爱互联网,对互联网产品有兴趣,preferred_requirements_text,Important,Partial,resume_extracted:21|resume_extracted:28,互联网产品和 AI 产品经历能间接支持兴趣，但“热爱”属于主观态度，无法由经历完全验证。,,,,,,pending,,4
baidu:105aafd8-a50f-4ef6-aad3-d0a729f5e4a8,百度,产品经理实习生（J104146）,北京,general_product,Chinese,R04,有互联网实习经历优先,互联网相关实习经历,preferred_requirements_text,Preferred,Strong,resume_extracted:16|resume_extracted:21,已验证的增长运营与 AI 大模型实习均属于相关互联网业务经历。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R01,了解数仓架构，熟悉数据开发和治理流程,理解数仓架构、数据开发与治理,requirements_text,Important,Partial,resume_extracted:18|resume_extracted:resume:1:technical_experience:8,有数据架构和 ETL 实践，但没有明确的数据仓库及数据治理全流程证据。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R02,熟练应用SQL语言,熟练使用 SQL,requirements_text,Important,Strong,resume_extracted:18|resume_extracted:resume:1:skills:4,技能目录和 SQL 触发器、归因逻辑项目提供直接支持。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R03,有数据产品策划运营经验,数据产品策划或运营经验,requirements_text,Important,Partial,resume_extracted:16|resume_extracted:18|resume_extracted:28,兼有数据体系、运营和产品策划经历，但未明确以数据产品经理身份负责完整产品。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R04,具备良好的逻辑思维和数据分析能力,逻辑思维与数据分析能力,requirements_text,Important,Strong,resume_extracted:19|resume_extracted:20|resume_extracted:30,KPI、业务分析和百万级数据项目提供了多项直接证据。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R05,优秀的沟通与项目管理能力,沟通与项目管理能力,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,Product Owner 项目包含客户汇报、优先级管理和跨团队交付。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R06,熟悉大模型（LLM）和AI应用，具备Prompt工程、RAG、Agent等实践经验,LLM、Prompt、RAG 与 Agent 实践,requirements_text,Important,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,LLM、RAG 和对话式 Agent 证据明确，但没有单独、可验证的 Prompt 工程事实。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R07,能结合业务场景评估AI方案的价值和可行性,评估 AI 方案的业务价值与可行性,requirements_text,Important,Strong,resume_extracted:21|resume_extracted:28,两段经历均记录了从用户/业务场景出发探索和落地大模型方案。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R08,有金融行业相关从业经验加分，如反洗钱、支付、风控、金融合规等,金融行业经验,requirements_text,Preferred,Strong,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,支付、银行、金融产品和合规经历直接覆盖多个列举场景。,,,,,,pending,,4
tencent:2047239002926510080,腾讯,金融科技-AI数据产品经理-数据开发方向,深圳,data_product,Chinese,R09,岗位需具备一定技术背景,具备技术背景,requirements_text,Important,Strong,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程本科及 SQL、Python、数据建模项目直接支持技术背景。,,,,,,pending,,4
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,R01,三年以上工作经验,至少三年工作经验,experience_requirement,Critical,Partial,resume_extracted:16|resume_extracted:21|resume_extracted:28,有实习与项目经历，但时间范围不足以证明三年以上工作经验。,,,,,,pending,,3
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,R02,对产品设计有饱满热情，在功能策划上有一定经验和能力,产品设计与功能策划经验,requirements_text,Important,Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:9,GoFin 中的流程、功能和迭代交付是直接产品策划证据。,,,,,,pending,,3
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,R03,善于观察和分析，善于发现关键问题，分清主次矛盾,观察分析并识别关键问题,requirements_text,Important,Strong,resume_extracted:19|resume_extracted:20|resume_extracted:27,业务分析、转化路径优化和客户反馈分析直接支持问题识别。,,,,,,pending,,3
tencent:1994013057063473152,腾讯,企业微信-基础产品经理,广州,general_product,Chinese,R04,具备很好的逻辑抽象能力，和框架系统思考的能力,逻辑抽象与系统思考能力,requirements_text,Important,Strong,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,数据架构和结构化产品流程设计提供了具体的系统化证据。,,,,,,pending,,3
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R01,本科及以上学历,本科及以上学历,requirements_text,Critical,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科和硕士教育记录直接满足。,,,,,,pending,,2
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R02,戏剧影视文学、创意写作、文学等相关专业优先,创意写作或文学相关专业,requirements_text,Preferred,Missing,,已验证专业为软件工程、金融科技和信息技术，没有相关文学专业证据。,,,,,,pending,,2
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R03,深刻理解小说、剧本、直播脚本的创作全流程,理解小说、剧本及直播脚本创作流程,requirements_text,Important,Missing,,当前已验证证据中没有内容创作流程经历。,,,,,,pending,,2
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R04,对“什么是好内容”有敏锐的直觉与可拆解的方法论,具备内容审美与可拆解方法论,requirements_text,Important,Missing,,没有可验证的内容审美、编剧或创意方法论证据。,,,,,,pending,,2
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R05,有短视频、短剧、漫剧行业资深从业经验者优先,短视频、短剧或漫剧行业经验,requirements_text,Preferred,Missing,,当前证据目录没有相关行业从业经历。,,,,,,pending,,2
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,大模型策略产品经理（J97330）,北京,strategy_growth_fintech,Chinese,R06,对AI原生应用有极高热情,对 AI 原生应用有兴趣,requirements_text,Preferred,Partial,resume_extracted:21|resume_extracted:28,AI 原生产品经历能间接支持兴趣，但“极高热情”是主观态度，不能由事实完全验证。,,,,,,pending,,2
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R01,本科及以上学历,本科及以上学历,requirements_text,Critical,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,本科和硕士教育记录直接满足。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R02,3-5 年互联网产品经验,三至五年互联网产品经验,requirements_text,Critical,Partial,resume_extracted:21|resume_extracted:28,有直接产品经历，但已验证时间明显不足三年。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R03,有用户增长、增长运营或内容平台产品经验优先,用户增长、增长运营或内容平台经验,requirements_text,Preferred,Strong,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,KPay 经历直接覆盖增长策略、增长运营和转化优化。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R04,具备完整的增长方法论与项目落地经验,增长方法论与项目落地经验,requirements_text,Important,Strong,resume_extracted:16|resume_extracted:19,渠道增长框架、KPI 和转化路径优化构成完整且落地的增长实践。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R05,数据敏感度高，逻辑清晰,数据敏感度与逻辑能力,requirements_text,Important,Strong,resume_extracted:19|resume_extracted:20|resume_extracted:30,多项数据分析、KPI 与机器学习项目提供直接支持。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R06,熟练通过数据分析与 AB 实验驱动产品迭代,通过数据分析驱动产品迭代,requirements_text,Important,Strong,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,数据驱动的转化优化和用户反馈迭代记录直接覆盖。,,,,,,pending,,3
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,北京,strategy_growth_fintech,Chinese,R07,熟练通过数据分析与 AB 实验驱动产品迭代,通过 AB 实验驱动产品迭代,requirements_text,Important,Missing,,当前已验证证据没有 AB 实验设计或执行记录。,,,,,,pending,,3
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R01,"简体中文,英语",具备中文与英语工作能力,requirements_text,Critical,Strong,resume_extracted:resume:1:skills:16,主简历确认英语精通；候选人中文材料及档案使用中文，但目录没有独立中文证书，人工需复核是否足以判 Strong。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R02,本科及以上,本科及以上学历,requirements_text,Critical,Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科和硕士教育记录直接满足。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R03,有 5 年以上工作经验,至少五年工作经验,requirements_text,Critical,Partial,resume_extracted:16|resume_extracted:21|resume_extracted:28,存在相关工作和项目经历，但已验证时长远不足五年。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R04,有较强的逻辑/概率思维能力，善于分析、归纳、描述、沟通、和解决问题,逻辑、概率分析、沟通与问题解决能力,requirements_text,Important,Strong,resume_extracted:19|resume_extracted:30|resume_extracted:28,统计分析、机器学习、业务分析及跨团队沟通形成多项直接证据。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R05,能独立承担系统设计、开发、调测等开发任务,独立承担系统设计、开发与调测,requirements_text,Important,Partial,resume_extracted:28|resume_extracted:resume:1:technical_experience:8,有系统设计和 LLM 后端集成经历，但没有独立承担大型 AI Infra 开发调测的证据。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R06,能快速接受和掌握新技术，有较强的独立、主动的学习能力,快速学习和掌握新技术,requirements_text,Important,Partial,resume_extracted:21|resume_extracted:28|resume_extracted:29,跨 LLM、NLP 与产品技术的经历可间接支持，但学习速度和主动性没有直接量化事实。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R07,对AI Infra领域有强烈兴趣优先,对 AI Infra 有兴趣,requirements_text,Preferred,Partial,resume_extracted:21|resume_extracted:resume:1:ai_experience:0,有 AI/LLM 经验，但没有 AI Infra 专项兴趣或实践证据。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R08,熟练掌握 Python、C++等编程语言,熟练使用 Python 与 C++,requirements_text,Important,Strong,resume_extracted:resume:1:skills:0|resume_extracted:resume:1:skills:1|resume_extracted:30,技能目录明确列出 Python、C/C++，且 Python 数据项目提供实践支持。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R09,具备计算机系统、软件设计、AI模型或者集合通信等专业知识中的一种或多种,具备计算机系统、软件设计或 AI 模型知识,requirements_text,Important,Strong,resume_extracted:resume:1:education:1|resume_extracted:22|resume_extracted:30,软件工程学历与 AI 模型训练项目直接覆盖其中多个选项。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R10,了解大模型相关的概念和知识,理解大模型概念,requirements_text,Important,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,大模型实习、产品开发和 LLM 集成经历直接支持。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R11,了解大模型训练原理，强化学习原理,理解大模型训练与强化学习原理,requirements_text,Important,Partial,resume_extracted:22|resume_extracted:29|resume_extracted:30,有一般模型训练经验，但没有明确的大模型训练或强化学习原理证据。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R12,有大模型精度调优经验，有基模训练经验或者RL训练经验,大模型调优、基模或强化学习训练经验,requirements_text,Important,Partial,resume_extracted:22|resume_extracted:resume:1:ai_experience:11,有模型训练支持和性能评估，但并非明确的大模型基模或 RL 训练。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R13,了解算子融合、量化、KV压缩、投机推理、PD分离等常用大模型推理技术,理解大模型推理优化技术,requirements_text,Important,Missing,,当前证据目录没有这些推理优化技术。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R14,熟悉大模型推理框架(如vLLM、SGLang等)优先,熟悉 vLLM、SGLang 等推理框架,requirements_text,Preferred,Missing,,当前证据目录没有相关推理框架。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R15,有GPU/国产计算卡算子开发经验优先,GPU 或国产计算卡算子开发经验,requirements_text,Preferred,Missing,,当前证据目录没有算子或计算卡开发经验。,,,,,,pending,,1
huawei:28183,华为,AI大模型架构师（训练/推理）,北京,mismatched_control,Chinese,R16,有顶会论文者优先,顶级会议论文,requirements_text,Preferred,Missing,,当前证据目录没有论文发表记录。,,,,,,pending,,1
