job_id,company,requirement_id,normalized_requirement,source_context,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_bucket
tencent:2047239002926510080,腾讯,reqv2_ffe28d59054b4e26,沟通与项目管理能力,优秀的沟通与项目管理能力，,Strong,UNRECONCILED,resume_extracted:28|resume_extracted:resume:1:product_experience:5,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_468aa07a31e8d40c,LLM、Prompt、RAG 与 Agent 实践经验,熟悉大模型（LLM）和AI应用，具备Prompt工程、RAG、Agent等实践经验，,Partial,UNRECONCILED,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_892a54d1bde059a0,评估 AI 方案的业务价值与可行性,能结合业务场景评估AI方案的价值和可行性；,Strong,UNRECONCILED,resume_extracted:21|resume_extracted:28,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_dc5ab6550342d109,金融行业相关从业经验,有金融行业相关从业经验加分，如反洗钱、支付、风控、金融合规等；,Strong,UNRECONCILED,resume_extracted:16|resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0,,,,L. schema/normalization failure (job-level duplicate id)
tencent:2047239002926510080,腾讯,reqv2_c69557b2d2e39287,具备技术背景,岗位需具备一定技术背景，,Strong,UNRECONCILED,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,,,,L. schema/normalization failure (job-level duplicate id)
tencent:1994013057063473152,腾讯,reqv2_2c48e151d8271b86,产品设计与功能策划经验,对产品设计有饱满热情，在功能策划上有一定经验和能力；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:23,True,候选人在中国电子云参与产品需求讨论和用户场景分析，在GoFin项目担任Product Owner负责需求和产品流程管理，具备产品设计相关经验。但简历中缺少完整的功能策划案例和从0到1的产品设计经历，功能策划的深度和广度有待进一步验证。,D. project experience under-credited vs GT formal-role acceptance
tencent:2078278970276753408,腾讯,reqv2_f982055a8756f25d,熟悉企业经营管理流程,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,Missing,Partial,,resume_extracted:16|resume_extracted:resume:1:domain_experience:3,True,候选人在KPay Group设计过渠道伙伴增长策略与运营框架，具备一定ToB业务理解，但简历中未体现对企业经营管理流程的系统性认知或实践经验。,E. technology / domain adjacency over-credited
tencent:2041409199149314048,腾讯,reqv2_23a50d8ef3c57335,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,2.具备AI 产品经理、策略产品经理或评测产品相关经验，有ASR、大模型、智能对话、AI搜索、语音助手等方向经验者优先；,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人有大模型应用开发和RAG文件分析经验,在中国电子云参与过大模型应用方向探索。但简历中未体现ASR、智能对话、AI搜索或语音助手等具体方向的直接项目经验。",G. OR-list: one satisfied alternative not credited
xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,reqv2_866eff0ae6a7bf23,already uses AI tooling to build/ship faster,"You build things because you want to, and that you already use AI to do it faster.",Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:28|resume_extracted:29|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,"候选人在GoFin项目中负责LLM集成和RAG应用开发,在电商评论情感分析项目中完成模型训练评估,并在中国电子云实习期间参与大模型应用探索,证明已在实际项目中使用AI工具提升开发效率。",J. proficiency / depth / scope overclaim
huawei:28183,华为,reqv2_a7e657643b65384a,快速掌握新技术的能力,4. 能快速接受和掌握新技术，有较强的独立、主动的学习能力。,Partial,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:29,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,"候选人在 AI 大模型实习中参与产品需求讨论和大模型应用探索,在 GoFin 项目中完成 LLM 集成和 RAG 应用,展现了快速掌握新技术的能力。",J. proficiency / depth / scope overclaim
huawei:28183,华为,reqv2_1c9199d15075aa37,大模型精度调优、基模或强化学习训练经验,5. 有大模型精度调优经验，有基模训练经验或者RL训练经验,Missing,Partial,,resume_extracted:29|resume_extracted:30|resume_extracted:resume:1:ai_experience:11,True,"候选人有模型训练评估和性能评估经验,但缺少大模型精度调优、基模训练或强化学习训练的直接证据。",E. technology / domain adjacency over-credited
tencent:2064981110395420672,腾讯,reqv2_ddd61beb368e5153,计算机 / 人工智能 / 语音信号处理相关专业,1.计算机、人工智能、语音信号处理等相关专业，硕士及以上学历优先；,Strong,Partial,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,True,候选人在读UNSW信息技术（AI）硕士和厦门大学软件工程学士，专业方向与计算机和人工智能相关，但简历未显示语音信号处理专业背景。,"B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
tencent:2064981110395420672,腾讯,reqv2_db1d8efa4071bf5f,流式语音识别模型研发经验（模型训练 / 流式解码 / 延迟优化）,2.具备流式语音识别模型研发经验，熟悉模型训练、流式解码、状态缓存和延迟优化；,Missing,Partial,,resume_extracted:21|resume_extracted:22|resume_extracted:29|resume_extracted:resume:1:ai_experience:11,True,候选人具备AI大模型实习经验、NLP情感分析项目中的模型训练评估能力，以及模型性能评估技能，但缺少流式语音识别模型、流式解码、状态缓存和延迟优化的直接研发经验。,E. technology / domain adjacency over-credited
baidu:0f336f8e-a440-4ebb-a45a-5554b493e527,百度,reqv2_11b4fc87edba9c18,计算机 / 统计学 / 数学相关专业,本科及以上学历，计算机、统计学、数学等相关专业优先,Strong,Partial,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:1|resume_extracted:resume:1:education:0,True,候选人拥有软件工程学士学位和AI方向双硕士在读背景，虽非计算机/统计学/数学的直接对口专业，但软件工程和AI技术方向与数据分析岗位高度相关。,"B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,百度,reqv2_0b5191a0696ab0a6,内容审美直觉与可拆解方法论,对“什么是好内容”有敏锐的直觉与可拆解的方法论,Missing,Partial,,resume_extracted:21|resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:23,True,"候选人具备产品需求分析、用户场景分析和客户反馈分析能力,体现一定的内容判断力,但缺乏针对文学创作内容的审美方法论。",E. technology / domain adjacency over-credited
tencent:2083093175941115904,腾讯,reqv2_b741297aa944df7f,用户增长、增长运营或内容平台产品经验,有用户增长、增长运营或内容平台产品经验优先；,Strong,Partial,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,resume_extracted:16|resume_extracted:resume:1:domain_experience:3,True,"候选人在KPay Group担任增长运营实习生,设计渠道伙伴增长策略并支持支付业务增长,具备增长运营经验。但缺乏明确的用户增长或内容平台产品经验的直接证据。",G. OR-list: one satisfied alternative not credited
tencent:2083093175941115904,腾讯,reqv2_02360706ab26d285,增长方法论与项目落地经验,2.具备完整的增长方法论与项目落地经验，,Strong,Partial,resume_extracted:16|resume_extracted:19,resume_extracted:16|resume_extracted:19|resume_extracted:20,True,"候选人在增长运营实习中设计了渠道增长策略与运营框架,并通过数据分析优化转化路径,显示具备一定的增长实践。但简历中未体现完整的增长方法论体系或端到端项目落地的详细案例。",D. project experience under-credited vs GT formal-role acceptance
tencent:2083093175941115904,腾讯,reqv2_7ed93fe4bb09d26f,通过数据分析驱动产品迭代,熟练通过数据分析与 AB 实验驱动产品迭代；,Strong,Partial,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:9,resume_extracted:19|resume_extracted:20|resume_extracted:resume:1:product_experience:9,True,"候选人通过数据分析优化转化路径、建立KPI监控体系并为团队提供数据洞察,具备数据驱动产品迭代的基础能力。但简历中未明确提及具体的产品迭代案例或数据分析如何直接推动产品功能改进。","B. Partial overprediction (GT Strong -> Partial, generic conservatism)"
