order,job_id,company,job_title,city,recruitment_type,role_category,pilot_reference,requirement_id,source_text,normalized_requirement,source_section,requirement_type,importance,eligibility_category,knowledge_topics,knowledge_text,score_included,ai_match_label,ai_eligibility_status,ai_evidence_ids,ai_grounding_reason,human_taxonomy_decision,human_match_label,human_eligibility_status,human_evidence_ids,human_grounding_reason,human_edit,human_accept_reject,human_notes,review_status,job_human_match_fit
4,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,北京,experienced,ai_product,false,reqv2_8e1b2b33ed5b36a1,国内重点院校本科/研究生毕业，有语音交互大模型等相关方向工作经验或科研项目经历优先,语音交互大模型方向工作或科研经历,preferred,matchable,Preferred,,,,true,Missing,,,证据目录没有语音交互 / ASR 大模型方向的工作或科研经历。,matchable,Missing,,,证据目录没有语音交互 / ASR 大模型方向的工作或科研经历。,,accept,,accepted,3
4,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,北京,experienced,ai_product,false,reqv2_4ac50e528b3f51b6,有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力,用户行为研究或商业分析经验,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:20|resume_extracted:23|resume_extracted:27,业务分析报告、竞品分析与客户反馈分析构成直接的商业分析与用户研究证据。,matchable,Strong,,resume_extracted:20|resume_extracted:23|resume_extracted:27,业务分析报告、竞品分析与客户反馈分析构成直接的商业分析与用户研究证据。,,accept,,accepted,3
4,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,北京,experienced,ai_product,false,reqv2_63b051ca5b06efc5,有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力,洞察与规律总结能力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:19|resume_extracted:20,有数据洞察与业务分析证据，但“文字品味”无法由现有事实核验，整体为 Partial。,matchable,Strong,,resume_extracted:19|resume_extracted:20,现有业务分析、数据洞察与用户/客户反馈分析可以直接支持洞察能力与规律总结能力。原 AI Partial 主要受同句“文字品味”这一不可稳定验证的主观审美成分影响；该主观成分不应降低可验证能力的匹配标签。,AI Partial → Human Strong；同句“文字品味”拆为非评分 subjective expectation。,accept,,edited,3
4,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,北京,experienced,ai_product,false,reqv2_9c48dec39e75f4ef,对大模型、深度学习、机器学习有较深的认知，对技术敏感,对大模型、深度学习、机器学习有较深的认知,requirements,knowledge,Important,,大模型|深度学习|机器学习,要求对大模型 / 深度学习 / 机器学习有较深的认知；属理论认知，履历证据难以稳定证明深度。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,3
5,baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,北京,experienced,ai_product,false,reqv2_583b63705fb4a584,本科及以上学历，计算机、人工智能、数学或相关专业优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,4
5,baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,北京,experienced,ai_product,false,reqv2_43b703bc49720527,本科及以上学历，计算机、人工智能、数学或相关专业优先,计算机、人工智能或数学相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,,accept,,accepted,4
5,baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,北京,experienced,ai_product,false,reqv2_4f38de60d0084540,2年以上AI产品或相关领域工作经验，熟悉AI技术原理与应用场景,两年以上 AI 产品或相关领域工作经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证 AI 相关经历为短期实习与项目，不足两年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证 AI 相关经历为短期实习与项目，不足两年。,,accept,,accepted,4
5,baidu:6182a4d3-51af-4396-af24-a3d690326bff,百度,AI产品经理（J96736）,北京,experienced,ai_product,false,reqv2_e9f0ff444876edad,2年以上AI产品或相关领域工作经验，熟悉AI技术原理与应用场景,熟悉 AI 技术原理与应用场景,requirements,knowledge,Important,,AI 技术原理|AI 应用场景,要求熟悉 AI 技术原理与应用场景；以原理理解为主，归 knowledge。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
6,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,北京,experienced,ai_product,false,reqv2_52f615942a4463af,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,4
6,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,北京,experienced,ai_product,false,reqv2_5cfb41f2e516a713,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,一年以上产品工作经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28|resume_extracted:21,JD 将该年限写为“优先”而非门槛；有 GoFin 产品交付与实习经历作为相关产品经验，但时长与角色偏弱，为 Partial。,matchable,Partial,,resume_extracted:28|resume_extracted:21,JD 将该年限写为“优先”而非门槛；有 GoFin 产品交付与实习经历作为相关产品经验，但时长与角色偏弱，为 Partial。,,accept,K1：“优先”非资格门槛，故非 eligibility；有相关产品实践但职业时长/角色深度不足，Partial。,accepted,4
6,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,北京,experienced,ai_product,false,reqv2_e3eb1e145f323224,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,熟悉 AI 领域或医疗健康行业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,LLM/RAG 产品与大模型实习直接覆盖“熟悉 AI 领域”（二选一即可）。,matchable,Strong,,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,LLM/RAG 产品与大模型实习直接覆盖“熟悉 AI 领域”（二选一即可）。,,accept,,accepted,4
6,baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,北京,experienced,ai_product,false,reqv2_1dbe0ee8f6b62193,具备快速学习、逻辑思维、问题解决能力,逻辑思维与问题解决能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,数据分析、百万级数据项目与产品需求分析构成逻辑思维与问题解决的直接证据。,matchable,Strong,,resume_extracted:19|resume_extracted:30|resume_extracted:28,数据分析、百万级数据项目与产品需求分析构成逻辑思维与问题解决的直接证据。,,accept,,accepted,4
7,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,百度,北京-AI产品经理(J100665),北京,campus,ai_product,false,reqv2_a24301ed3b2910aa,本科及以上学历，计算机、人工智能、信息管理等相关专业优先,本科及以上学历（在读）,education,eligibility,Critical,degree,,,false,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,manual_confirmed:profile:candidate_type|resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,校招身份已确认，已验证本科与在读硕士学历满足门槛。,,accept,,accepted,5
7,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,百度,北京-AI产品经理(J100665),北京,campus,ai_product,false,reqv2_48610f0c3e734912,本科及以上学历，计算机、人工智能、信息管理等相关专业优先,计算机、人工智能或信息管理相关专业,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,matchable,Strong,,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士覆盖相关专业偏好。,,accept,,accepted,5
7,baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,百度,北京-AI产品经理(J100665),北京,campus,ai_product,false,reqv2_03c627878049b993,对大模型、AIGC、智能助手等AI产品有深入理解和强烈兴趣,对大模型、AIGC、智能助手等 AI 产品有深入理解,requirements,knowledge,Important,,大模型|AIGC|智能助手产品,要求对大模型 / AIGC / 智能助手类 AI 产品有深入理解；属产品概念理解，归 knowledge。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,5
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_07af529c4484028b,搜索、推荐、办公软件、客服对话、任务式对话、电商、数字人等相关AI策略产品经理工作经历优先,相关 AI 策略产品经理工作经历（搜索/推荐/对话/电商/数字人等）,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28,有对话式 AI 产品交付经历，但没有在上述垂类担任策略产品经理的直接证据。,matchable,Partial,,resume_extracted:28,有对话式 AI 产品交付经历，但没有在上述垂类担任策略产品经理的直接证据。,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_c3091ed2eca6d9f3,-有一定技术背景，对大模型底层技术有一定理解优先,具备一定技术背景,preferred,matchable,Preferred,,,,true,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程学历与 SQL、Python、数据建模项目支持技术背景。,matchable,Strong,,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,软件工程学历与 SQL、Python、数据建模项目支持技术背景。,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_ccbe3a1a50d66430,-有一定技术背景，对大模型底层技术有一定理解优先,对大模型底层技术有一定理解,preferred,knowledge,Preferred,,大模型底层技术,要求对大模型底层技术有一定理解（“优先”）；属机制理解，归 knowledge。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_9fd490849ed086bf,-对产业各大模型的能力划分、优化方法有一定思路和认知,对大模型能力划分与优化方法有认知,requirements,knowledge,Important,,大模型能力划分|大模型优化方法,要求对各大模型的能力划分与优化方法有思路与认知；属理论/机制认知。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_7ed2b166528d9d17,-具备较强的沟通推动、合作和表达能力，积极乐观，抗压性强,沟通推动、协作与表达能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,GoFin 的客户沟通、优先级推动与跨团队协作构成直接证据。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,GoFin 的客户沟通、优先级推动与跨团队协作构成直接证据。,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_cd46eb037c906aa9,-希望大模型元时代的你能够对大模型有基本了解，对大模型数据质量和数据评估的好坏有自己的品味和喜好,对大模型有基本了解,requirements,knowledge,Important,,大模型基本概念,要求对大模型有基本了解；属概念理解。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
8,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,百度,大模型产品经理（J72652）,北京,experienced,ai_product,false,reqv2_49c9c07f1ba12d7b,-希望大模型元时代的你能够对大模型有基本了解，对大模型数据质量和数据评估的好坏有自己的品味和喜好,对大模型数据质量与评估有判断力,requirements,matchable,Important,,,,true,Partial,,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,有数据质量 / ETL 与模型性能评估经验，可部分支持对数据质量与评估的判断力。,matchable,Partial,,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,有数据质量 / ETL 与模型性能评估经验，可部分支持对数据质量与评估的判断力。,,accept,,accepted,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_0d8365a3b32f0915,-本科及以上学历，3年以上AI领域产品经验，有AI平台类/B端产品经验者优先,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_553e1a20a4ee2f4f,-本科及以上学历，3年以上AI领域产品经验，有AI平台类/B端产品经验者优先,三年以上 AI 领域产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证 AI 领域经历为实习与项目，明显不足三年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证 AI 领域经历为实习与项目，明显不足三年。,,accept,,accepted,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_7e3a449a4232300b,有AI平台类/B端产品经验者优先,AI 平台类或 B 端产品经验,preferred,matchable,Preferred,,,,true,Partial,,resume_extracted:28,GoFin 为可配置的 B 向产品负责人经历，与 B 端相邻，但缺少 AI 平台类产品证据。,matchable,Partial,,resume_extracted:28,GoFin 为可配置的 B 向产品负责人经历，与 B 端相邻，但缺少 AI 平台类产品证据。,,accept,候选人人工确认 GoFin 亦为 AI 平台；因此该 AI 平台 / B 端方向要求不判 Missing，保持 Partial —— GoFin 支持 AI 平台方向，但为项目制而非长期正式平台 PM 工作。此人工事实仅属人工裁定，未新增证据 ID。,accepted,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_2a81e28357c94a57,-了解大模型、Agent、RAG等技术及其核心原理，具备较强的技术理解能力,了解大模型、Agent、RAG 等技术及其核心原理,requirements,knowledge,Important,,大模型原理|Agent 原理|RAG 原理,要求了解大模型 / Agent / RAG 的核心原理与技术理解能力；属理论理解（edge case B 类）。,false,N/A,,,,knowledge,N/A,,,,,accept,,accepted,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_f7ca00a2f542fb78,-具备复杂需求抽象能力，对于目标客户群体场景和痛点有深刻理解，熟练使用产品经理相关工具,复杂需求抽象、客户场景理解与产品工具使用,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:product_experience:5,GoFin 的需求梳理、竞品/用户场景分析与结构化产品流程构成直接证据。,matchable,Partial,,resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:product_experience:5,需求抽象、用户/客户场景分析与产品流程有直接证据，但该复合要求同时要求熟练使用产品经理相关工具；冻结证据没有明确工具使用事实，覆盖不完整，应为 Partial。,AI Strong → Human Partial（compound 覆盖不完整）。,accept,,edited,4
9,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,北京,experienced,ai_product,false,reqv2_d154fbace582cc6a,-具备较强团队协作和沟通能力，思维活跃，认真细致、学习能力、适应能力强,团队协作与沟通能力,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨职能协调与迭代交付记录支持团队协作与沟通能力。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:5,跨职能协调与迭代交付记录支持团队协作与沟通能力。,,accept,,accepted,4
10,tencent:2092538895714664448,腾讯,AI产品经理,深圳,experienced,ai_product,false,reqv2_471a170a794e7319,1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；,本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,eligibility,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,已验证本科与在读硕士学历满足门槛。,,accept,,accepted,3
10,tencent:2092538895714664448,腾讯,AI产品经理,深圳,experienced,ai_product,false,reqv2_db114bb43e8ff622,1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；,三年以上互联网产品经验,experience,eligibility,Critical,experience_years,,,false,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,eligibility,,PotentialGap,,候选人为 2027 届应届，已验证产品经历明显不足三年。,,accept,,accepted,3
10,tencent:2092538895714664448,腾讯,AI产品经理,深圳,experienced,ai_product,false,reqv2_7c4b6a0fd084f77d,1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；,开发者工具、研发效能或平台型产品经验,preferred,matchable,Preferred,,,,true,Missing,,,证据目录没有开发者工具 / 研发效能 / 平台型产品的已验证经历。,matchable,Missing,,,证据目录没有开发者工具 / 研发效能 / 平台型产品的已验证经历。,,accept,,accepted,3
10,tencent:2092538895714664448,腾讯,AI产品经理,深圳,experienced,ai_product,false,reqv2_7c8882c717660066,2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代；,独立完成需求分析、产品设计、项目推进与数据迭代,requirements,matchable,Important,,,,true,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:19,GoFin 覆盖需求、设计、推进与数据驱动迭代的完整闭环。,matchable,Strong,,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:19,GoFin 覆盖需求、设计、推进与数据驱动迭代的完整闭环。,,accept,,accepted,3
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_2b768a7f23c2d2c4,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,一年以上 AI/Agent 产品经验,experience,eligibility,Critical,experience_years,,,false,,Unknown,,存在 AI 产品实习与 Agent/LLM 项目，但已验证的经历时长不足以确认满一年的专职 AI/Agent 产品经验；缺少证据不等于不满足。,accepted AI taxonomy,,Unknown,,存在 AI 产品实习与 Agent/LLM 项目，但已验证的经历时长不足以确认满一年的专职 AI/Agent 产品经验；缺少证据不等于不满足。,,accept,,accepted,4
11,tencent:2088450750270324736,腾讯,AI产品经理-AI平台（Agent）方向,深圳,experienced,ai_product,true,reqv2_9e319f3dffc2693d,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,计算机相关本科及以上学历,education,eligibility,Critical,degree,,,false,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接满足计算机相关本科及以上学历。,accepted AI taxonomy,,Supported,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,软件工程本科与信息技术（AI）硕士直接满足计算机相关本科及以上学历。,,accept,,accepted,4
