job_id,job_title,company,requirement_id,normalized_requirement,source_text,importance,gt_label,pred_label,outcome,transition,gt_evidence_ids,pred_evidence_ids,pred_evidence_all_valid,grounding_valid,is_or_list,is_compound,gt_uses_evidence,pred_uses_evidence,normalized_reason,root_cause_groups
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,AI产品经理（J98328）,百度,reqv2_5cfb41f2e516a713,一年以上产品工作经验,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:28|resume_extracted:21,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,True,True,True,False,True,True,候选人拥有多段产品相关实习经历，包括GoFin项目的Product Owner角色和中国电子云的AI大模型产品需求讨论经验，但总时长可能未达到完整一年的全职产品工作经验。,
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,AI产品经理（J98328）,百度,reqv2_e3eb1e145f323224,熟悉 AI 领域或医疗健康行业,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,Preferred,Strong,Partial,incorrect,Strong->Partial,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,True,False,True,True,候选人在AI领域有实践经验，包括AI大模型实习、LLM集成、RAG应用和NLP项目，但在医疗健康行业方面没有直接经验。,unclassified
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,AI产品经理（J98328）,百度,reqv2_1dbe0ee8f6b62193,逻辑思维与问题解决能力,具备快速学习、逻辑思维、问题解决能力,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:19|resume_extracted:30|resume_extracted:28,resume_extracted:18|resume_extracted:19|resume_extracted:30|resume_extracted:resume:1:technical_experience:8,True,True,False,False,True,True,候选人展现出优秀的逻辑思维与问题解决能力，通过数据架构设计、SQL触发器开发、转化路径优化和百万级数据分析等项目充分证明了这一能力。,
baidu:423c0fa3-a0f3-4def-a882-7466d3685b79,北京-AI产品经理(J100665),百度,reqv2_48610f0c3e734912,计算机、人工智能或信息管理相关专业,本科及以上学历，计算机、人工智能、信息管理等相关专业优先,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1,resume_extracted:resume:1:education:1|resume_extracted:resume:1:education:0|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,True,False,False,True,True,候选人本科为软件工程专业，硕士为信息技术（AI）方向，直接匹配计算机和人工智能相关专业要求。教育背景和AI实践经验均提供充分支持。,
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,大模型产品经理（J72652）,百度,reqv2_07af529c4484028b,相关 AI 策略产品经理工作经历（搜索/推荐/对话/电商/数字人等）,搜索、推荐、办公软件、客服对话、任务式对话、电商、数字人等相关AI策略产品经理工作经历优先,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:28,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,False,False,True,True,候选人具备AI大模型实习经验和LLM/RAG应用开发背景，但缺少搜索、推荐、对话、电商、数字人等垂直领域的AI策略产品经理工作经历。,
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,大模型产品经理（J72652）,百度,reqv2_c3091ed2eca6d9f3,具备一定技术背景,-有一定技术背景，对大模型底层技术有一定理解优先,Preferred,Strong,Strong,correct,Strong->Strong,resume_extracted:resume:1:education:1|resume_extracted:18|resume_extracted:30,resume_extracted:resume:1:education:0|resume_extracted:resume:1:education:1|resume_extracted:21|resume_extracted:28,True,True,False,False,True,True,"候选人拥有软件工程学士和AI双硕士背景,具备Python、SQL等技术能力,参与过大模型实习和LLM集成项目,对大模型底层技术有一定理解。",
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,大模型产品经理（J72652）,百度,reqv2_7ed2b166528d9d17,沟通推动、协作与表达能力,-具备较强的沟通推动、合作和表达能力，积极乐观，抗压性强,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:7|resume_extracted:20|resume_extracted:27,True,True,False,False,True,True,"候选人在多个实习和项目中展现跨职能协调、客户反馈分析和团队协作能力,具备较强的沟通推动与表达能力。",
baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,大模型产品经理（J72652）,百度,reqv2_49c9c07f1ba12d7b,对大模型数据质量与评估有判断力,-希望大模型元时代的你能够对大模型有基本了解，对大模型数据质量和数据评估的好坏有自己的品味和喜好,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:18|resume_extracted:22|resume_extracted:resume:1:ai_experience:11,resume_extracted:22|resume_extracted:resume:1:ai_experience:11|resume_extracted:29|resume_extracted:30,True,True,False,False,True,True,"候选人参与过数据清洗、特征工程和模型性能评估工作,但对大模型数据质量评估的深度判断力和品味缺少直接证据。",
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,大模型应用平台产品经理（J85776）,百度,reqv2_7e3a449a4232300b,AI 平台类或 B 端产品经验,有AI平台类/B端产品经验者优先,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:28,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,False,False,True,True,"候选人在中国电子云担任AI大模型实习生,参与产品需求讨论和用户场景分析,在GoFin项目中负责LLM集成和RAG应用,具备AI产品相关经验。但缺少完整的AI平台类或B端产品经理经验,主要为实习和项目层面的参与。",
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,大模型应用平台产品经理（J85776）,百度,reqv2_f7ca00a2f542fb78,复杂需求抽象、客户场景理解与产品工具使用,-具备复杂需求抽象能力，对于目标客户群体场景和痛点有深刻理解，熟练使用产品经理相关工具,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:product_experience:5,resume_extracted:28|resume_extracted:21|resume_extracted:27|resume_extracted:resume:1:product_experience:7,True,True,False,False,True,True,"候选人在GoFin项目中负责需求管理、User Stories和客户反馈收集分析,在中国电子云实习期间参与用户场景分析,展现了一定的需求抽象和客户理解能力。但简历未明确体现产品经理工具的熟练使用,复杂需求抽象的深度需进一步验证。",
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,大模型应用平台产品经理（J85776）,百度,reqv2_d154fbace582cc6a,团队协作与沟通能力,-具备较强团队协作和沟通能力，思维活跃，认真细致、学习能力、适应能力强,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:resume:1:product_experience:5|resume_extracted:28|resume_extracted:20|resume_extracted:resume:1:product_experience:7,True,True,False,True,True,True,"候选人在GoFin项目中协调跨职能团队(前端、后端、AI、数据库、测试),在KPay Group为增长、合作和运营团队提供数据洞察,简历明确列出跨职能团队协调和客户反馈收集能力,展现了较强的团队协作与沟通能力。",
tencent:2092538895714664448,AI产品经理,腾讯,reqv2_7c4b6a0fd084f77d,开发者工具、研发效能或平台型产品经验,1.本科及以上学历，3 年及以上互联网产品经验，有开发者工具、研发效能或平台型产品经验优先；,Preferred,Missing,Missing,correct,Missing->Missing,,,,True,True,False,False,False,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,
tencent:2092538895714664448,AI产品经理,腾讯,reqv2_7c8882c717660066,独立完成需求分析、产品设计、项目推进与数据迭代,2.产品基本功扎实，能够独立完成需求分析、产品设计、项目推进及数据迭代；,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:19,resume_extracted:28|resume_extracted:20|resume_extracted:resume:1:product_experience:9|resume_extracted:resume:1:product_experience:7,True,True,False,False,True,True,"候选人在GoFin项目中负责需求、产品流程、User Stories和跨职能交付,在KPay实习中进行数据分析和业务洞察,具备一定的需求分析和产品设计能力。但作为应届生,独立完成完整产品周期的深度和广度仍需验证。",project_or_internship_underweighted
tencent:2088450750270324736,AI产品经理-AI平台（Agent）方向,腾讯,reqv2_377262a20b779d20,具有完整 AI 产品落地经历,一年以上 AI/Agent 产品经验，有完整落地项目经历；计算机科学或相关技术领域的本科及以上学历；,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,True,False,True,True,"候选人在GoFin项目中负责LLM集成和RAG应用,并在中国电子云参与大模型产品需求讨论,但缺少从需求定义、开发到上线运营的完整AI产品落地全流程证据。",completeness_or_fullflow_demanded
tencent:2088450750270324736,AI产品经理-AI平台（Agent）方向,腾讯,reqv2_f10bb045c924ce66,Agent 评测经验,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,resume_extracted:resume:1:ai_experience:11,True,True,False,False,True,True,"候选人具备模型性能评估技能关键词,但简历中未呈现Agent评测的具体方法、指标体系或实际评测项目经验。",
tencent:2088450750270324736,AI产品经理-AI平台（Agent）方向,腾讯,reqv2_17b2403b35e713d3,能与工程团队在 Agent 架构层面有效对齐,对AI行业趋势和大模型技术有较为深刻的理解和热情，具备 Agent 评测相关经验者优先，能够与工程师在Agent架构层面有效对焦；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:28|resume_extracted:resume:1:product_experience:5,True,True,False,False,True,True,"候选人在GoFin项目中协调过跨职能AI团队,但简历未体现在Agent架构设计、技术选型或架构评审层面与工程师深度对齐的具体案例。",
tencent:2088450750270324736,AI产品经理-AI平台（Agent）方向,腾讯,reqv2_2f350c257de37080,用户反馈驱动、动手验证与系统思考能力,注重用户体验和反馈，具备较好的动手能力、逻辑能力、系统思考能力和表达能力，实事求是；,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:resume:1:product_experience:7|resume_extracted:27|resume_extracted:19|resume_extracted:30,True,True,False,True,True,True,"候选人在多个岗位中收集分析客户反馈并提出优化建议,在KPay和银行项目中展现数据分析与系统思考能力,在GoFin项目中负责产品迭代交付体现动手能力。",
tencent:2088450750270324736,AI产品经理-AI平台（Agent）方向,腾讯,reqv2_e0d891d785e65c39,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,有对话/推荐/搜索、知识管理、开放平台/插件/Agent/MCP 生态、AI 效率工具等相关产品经验者优先。,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:4,True,True,False,False,True,True,"候选人在GoFin项目中涉及对话式目标创建和RAG应用,具备一定对话和知识管理产品经验,但在推荐/搜索、开放平台/MCP生态和AI效率工具方面缺少直接证据。",
tencent:2077347119940939776,QQ-Agent产品经理,腾讯,reqv2_9149c4b1d212048c,AI Agent、大模型应用或智能助手类产品经验,1.本科及以上学历，3年以上产品经理工作经验，有AI Agent、大模型应用或智能助手类产品经验者优先；,Preferred,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,True,False,True,True,"候选人在中国电子云参与大模型应用方向探索,在GoFin项目中负责LLM集成和RAG实现,简历显示具备大语言模型应用开发和RAG文件分析经验。但经验主要来自实习和个人项目,缺少完整的AI Agent或智能助手类产品从0到1的产品经理经验。",project_or_internship_underweighted|completeness_or_fullflow_demanded
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_aca2f21646c44438,将前沿研究转化为可落地产品方案,1.较强的学习能力和好奇心，对 AI 和大模型技术有深刻理解与热情，能快速跟进前沿研究并转化为可落地的产品方案；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:21|resume_extracted:28,resume_extracted:21|resume_extracted:28|resume_extracted:resume:1:ai_experience:0,True,True,False,True,True,True,"候选人在中国电子云参与过大模型应用方向探索,并在GoFin项目中负责LLM集成,展现出对AI技术的理解和应用能力。但缺少将前沿研究系统性转化为可落地产品方案的完整经验。",
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,True,False,True,True,True,"候选人具备LLM和RAG应用开发经验,在GoFin项目中负责LLM集成和对话式交互。但该项目偏向B端金融场景,缺少C端AI产品规模化落地的完整经验。",specific_product_type_not_credited
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_e402249eb2353772,AI 评测体系搭建或策略产品经验,2.有 C 端 AI 产品经验，熟悉 LLM、Agent、多模态交互、语音交互（ASR）等至少一个方向的产品化落地；有 AI 评测体系搭建、策略产品经验者优先；,Preferred,Partial,Partial,correct,Partial->Partial,resume_extracted:resume:1:ai_experience:11|resume_extracted:28,resume_extracted:resume:1:ai_experience:11,True,True,False,True,True,True,"候选人有模型性能评估经验,但缺少AI评测体系搭建或策略产品的系统性经验。",
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_9fcda4bdee2f02df,用户洞察与数据/用研驱动决策,3.较好的用户思维，对用户输入行为、表达需求和交互体验有敏锐洞察，能通过数据分析和用户研究驱动产品决策；,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:7,resume_extracted:19|resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:20,True,True,False,False,True,True,"候选人在KPay通过数据分析优化转化路径并建立KPI监控体系,在光大银行分析客户反馈提出优化建议,在GoFin收集分析客户反馈,展现出较强的用户洞察和数据驱动决策能力。",
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,4.出色的系统性思考与问题拆解能力，逻辑清晰，能独立负责复杂产品模块的从 0 到 1；,Important,Partial,Strong,incorrect,Partial->Strong,resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:technical_experience:8,True,True,False,False,True,True,"候选人在GoFin项目中作为Product Owner独立负责产品流程、Backlog管理和跨职能交付,在KPay设计增长策略与运营框架并搭建数据架构,展现出系统性思考和从0到1的能力。",project_overgeneralized
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_8fde0b9d53173e67,为模型制定任务目标与效果标准,5.对文字、语音、内容创作等场景有审美和感受力，能结合用户真实使用场景为模型制定贴合需求的任务目标与效果标准；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,resume_extracted:21|resume_extracted:28,True,True,False,False,True,True,"候选人在中国电子云参与产品需求讨论和用户场景分析,在GoFin负责对话式目标创建,具备一定的场景理解能力。但缺少为模型制定任务目标与效果标准的直接经验。",
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_3d113582071bb486,跨职能协同（算法/工程/设计/测试）,6.优秀的执行力与推动力，能高效协同算法、工程、设计、测试等多角色团队，抗压能力强；,Important,Strong,Strong,correct,Strong->Strong,resume_extracted:28|resume_extracted:resume:1:product_experience:5,resume_extracted:resume:1:product_experience:5|resume_extracted:28|resume_extracted:23,True,True,False,True,True,True,"候选人在GoFin项目中协调前端、后端、AI、数据库和测试团队完成跨职能交付,在中国电子云与多角色合作开展竞品分析,展现出优秀的跨职能协同能力。",
tencent:1978467627152072704,微信输入法-AI产品经理,腾讯,reqv2_0d2628dae4ed1e9d,算法工作经验,7.一年及以上产品工作经验；曾经有算法工作经验的同学优先。,Preferred,Partial,Missing,incorrect,Partial->Missing,resume_extracted:22|resume_extracted:29,,,True,False,False,True,False,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,
tencent:2036621556322562048,腾讯会议-AI产品经理-ASR方向,腾讯,reqv2_5685d10f28aca7c2,熟悉语音交互相关技术（ASR / 语义理解 / TTS）,2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；,Important,Missing,Missing,correct,Missing->Missing,,,,True,False,False,False,False,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,
tencent:2036621556322562048,腾讯会议-AI产品经理-ASR方向,腾讯,reqv2_1125bb9c519be4f4,掌握语音产品性能评估方法,2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,resume_extracted:resume:1:ai_experience:11|resume_extracted:29,True,True,False,False,True,True,"候选人在AI大模型项目中有模型性能评估经验,但未涉及语音产品特定的评估方法如WER、MOS或语音识别准确率等指标。",
tencent:2036621556322562048,腾讯会议-AI产品经理-ASR方向,腾讯,reqv2_e913e8618fce3ef0,用户感知力与问题发现解决能力,3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:27|resume_extracted:19,resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:23|resume_extracted:21,True,True,False,False,True,True,"候选人在金融服务和产品开发中积累了客户反馈分析和体验优化经验,展现了一定的用户感知力,但在主动发现并解决产品问题方面的深度案例有限。",no_metric_or_outcome_downgrade
tencent:2052527703940313088,证券-AI产品经理-金融AI应用体验方向,腾讯,reqv2_5dfabc3bf0e9566f,具有 AI 原生或 Agent 产品完整落地经验,有Ai原生产品、Agent应用或复杂C端工具/内容产品的完整落地经验。,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4|resume_extracted:21,True,True,True,False,True,True,"候选人在 GoFin 项目中负责 LLM 集成和 RAG 应用,具备 AI 产品开发经验,但未明确展示完整的 AI 原生或 Agent 产品从 0 到 1 落地全流程与可验证成果。",completeness_or_fullflow_demanded|no_metric_or_outcome_downgrade
tencent:2052527703940313088,证券-AI产品经理-金融AI应用体验方向,腾讯,reqv2_8a7ced10d1e674e6,从 0 到 1 主导项目并取得可验证成果,具备从0到1主导项目并取得可验证成果的经历；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:product_experience:9,True,True,False,True,True,True,"候选人在 GoFin 项目中担任 Product Owner 并负责跨职能交付,在 KPay 设计增长策略与数据架构,但缺少明确的从 0 到 1 主导项目并取得可验证业务成果的完整案例描述。",
tencent:2052527703940313088,证券-AI产品经理-金融AI应用体验方向,腾讯,reqv2_062e201cf241f5a9,理解证券业务,对证券业务有深刻理解或极强的学习意愿；,Important,Partial,Partial,correct,Partial->Partial,resume_extracted:24|resume_extracted:resume:1:education:0|resume_extracted:resume:1:domain_experience:0,resume_extracted:24|resume_extracted:26|resume_extracted:resume:1:domain_experience:0|resume_extracted:resume:1:education:0,True,True,True,False,True,True,"候选人在光大银行实习期间接触金融产品建议与合规审核,拥有金融科技硕士背景,但对证券业务的深刻理解尚未得到直接证明。",
tencent:2052527703940313088,证券-AI产品经理-金融AI应用体验方向,腾讯,reqv2_d51e7d995d268f8f,产品判断力与用户共情能力,具备优秀的产品判断力与用户共情能力，,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:21|resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:28,True,True,False,False,True,True,"候选人参与产品需求讨论、用户场景分析和客户反馈收集,展现一定的产品判断与用户共情能力,但缺少具体的优秀产品决策案例。",unclassified
tencent:2052527703940313088,证券-AI产品经理-金融AI应用体验方向,腾讯,reqv2_2aa26881dbfb4a32,设计可扩展方案并推动跨团队闭环,设计稳健、可扩展的产品方案与协同流程，并推动跨团队项目高效闭环；,Important,Strong,Partial,incorrect,Strong->Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:technical_experience:8,True,True,False,False,True,True,"候选人在 KPay 设计数据架构与运营框架,在 GoFin 协调跨职能团队交付,具备一定的方案设计与跨团队推动经验,但稳健性、可扩展性与高效闭环的深度案例不足。",no_metric_or_outcome_downgrade
