job_id,company,job_title,role_family,job_matchable_count,requirement_id,requirement_text,requirement_type,current_draft_importance,current_human_match_label,jd_source_section,jd_source_text,jd_surrounding_context,wording_signal_flags,wording_years_seniority,why_requirement_appears,job_side_centrality_observations_only,current_gt_match_score,score_if_critical,score_if_important,score_if_preferred,max_abs_delta,important_preferred_delta,importance_provenance,human_importance,importance_review_status,importance_uncertain,human_importance_notes
tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,ai_product,3,reqv2_5685d10f28aca7c2,熟悉语音交互相关技术（ASR / 语义理解 / TTS）,matchable,Important,Missing,requirements,2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；,"RESP: 1.负责AI语音相关产品的规划、设计与迭代；
2.联动算法/工程/数据团队，推进AI语音能力在业务中的落地，持续优化识别准确率、响应速度等关键指标；
3.建立语音产品质量评估体系，负责效果评测集构建、竞品分析和数据驱动的产品迭代。 || REQ: 1.本科及以上学历，3年以上智能语音、自然语言处理或其他AI相关领域的产品经验；
2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；
3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。",,3年|年以上,listed under the JD 'requirements' section as a stated capability for a ai_product role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,50,41,50,64,14,14,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2036621556322562048,腾讯,腾讯会议-AI产品经理-ASR方向,ai_product,3,reqv2_e913e8618fce3ef0,用户感知力与问题发现解决能力,matchable,Important,Strong,requirements,3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。,"RESP: 1.负责AI语音相关产品的规划、设计与迭代；
2.联动算法/工程/数据团队，推进AI语音能力在业务中的落地，持续优化识别准确率、响应速度等关键指标；
3.建立语音产品质量评估体系，负责效果评测集构建、竞品分析和数据驱动的产品迭代。 || REQ: 1.本科及以上学历，3年以上智能语音、自然语言处理或其他AI相关领域的产品经验；
2.熟悉语音识别、语义理解、语音合成等语音交互相关技术，掌握语音产品性能评估方法；
3.具备敏锐的用户感知力，对产品体验有极致追求，能够主动发现并解决问题。",,3年|年以上,listed under the JD 'requirements' section as a stated capability for a ai_product role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,50,59,50,36,14,14,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2083093175941115904,腾讯,腾讯视频-增长产品经理,strategy_growth_fintech,5,reqv2_cd8c089c6f3c4688,通过 AB 实验驱动产品迭代,matchable,Important,Missing,requirements,熟练通过数据分析与 AB 实验驱动产品迭代；,"RESP: 1.增长体系搭建：负责腾讯视频移动端用户增长产品策略建设，围绕用户生命周期搭建覆盖拉新、激活、留存、付费转化、流失召回的增长产品矩阵，沉淀可复用的增长方法论与产品工具，支撑业务规模化增长；
2.核心增长场景优化：主导用户核心转化路径的产品设计与迭代，包括但不限于端内核心动线的增长策略设计、Push / 插件 / 公众号等用户触达产品体系，持续提升各环节转化效率； || REQ: 1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；
2.具备完整的增长方法论与项目落地经验，数据敏感度高，逻辑清晰，熟练通过数据分析与 AB 实验驱动产品迭代； || PREF: 1.本科及以上学历，3-5 年互联网产品经验，有用户增长、增长运营或内容平台产品经验优先；",,,listed under the JD 'requirements' section as a stated capability for a strategy_growth_fintech role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 5 matchable requirements in this job,77,67,77,91,14,14,pilot-10: carried Pilot V1->V2 pre-annotation (v1_ref=R07(Important/Missing)); never explicitly human-reviewed,,pending,,
tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,data_product,2,reqv2_f2105cecb6db9371,B 端 / 数据 / AI / 研发效能平台或企业内部系统产品经验,matchable,Preferred,Partial,preferred,1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；,"RESP: 1.负责 AI 数据平台相关产品能力建设，包括数据接入、数据资产管理、数据集管理、权限审批、数据治理、数据消费等方向，提升数据在AI模型研发场景下的流转效率和使用体验；
2.深入理解 AI 研发、数据生产、数据治理、数据消费等业务流程，抽象共性需求，设计平台化、标准化、可复用的产品方案； || REQ: 1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；
2.具备较强的结构化思维和抽象能力，能够将复杂业务流程拆解为清晰的产品模块、数据流程和权限关系； || PREF: 1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；",优先,年以上,listed under the JD 'preferred' section as a preferred/bonus capability for a data_product role at 腾讯.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording overlaps the JD responsibilities section ; one of 2 matchable requirements in this job,88,69,75,88,19,13,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,百度,AI产品经理（J84492）,ai_product,3,reqv2_63b051ca5b06efc5,洞察与规律总结能力,matchable,Important,Strong,requirements,有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力,"RESP: 负责端到端语音交互大模型的产品策略输出以及效果跟进
高质量评估，并对评估结果进行深入分析洞察，指导模型及系统策略优化 || REQ: 有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力
对大模型、深度学习、机器学习有较深的认知，对技术敏感 || PREF: 有用户行为研究、商业分析等经验优先，有很好的文字品味，洞察能力强，并具有较强的规律总结能力",优先,,listed under the JD 'requirements' section as a preferred/bonus capability for a ai_product role at 百度.,appears in JD section: requirements ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,80,86,80,67,13,13,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2077246089718837248,腾讯,光子 AI-数据平台产品经理,data_product,2,reqv2_5b0126d99d34bf17,结构化思维：将复杂业务拆解为产品模块 / 数据流程 / 权限,matchable,Important,Strong,requirements,2.具备较强的结构化思维和抽象能力，能够将复杂业务流程拆解为清晰的产品模块、数据流程和权限关系；,"RESP: 1.负责 AI 数据平台相关产品能力建设，包括数据接入、数据资产管理、数据集管理、权限审批、数据治理、数据消费等方向，提升数据在AI模型研发场景下的流转效率和使用体验；
2.深入理解 AI 研发、数据生产、数据治理、数据消费等业务流程，抽象共性需求，设计平台化、标准化、可复用的产品方案； || REQ: 1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；
2.具备较强的结构化思维和抽象能力，能够将复杂业务流程拆解为清晰的产品模块、数据流程和权限关系； || PREF: 1.本科及以上学历，3 年以上产品经理经验，有 B 端平台、数据平台、AI 平台、研发效能平台或企业内部系统产品经验优先；",,年以上,listed under the JD 'requirements' section as a stated capability for a data_product role at 腾讯.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording overlaps the JD responsibilities section ; one of 2 matchable requirements in this job,88,92,88,75,13,13,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2041409199149314048,腾讯,腾讯会议-评测产品经理,general_product,3,reqv2_2a8d6b3110257858,AI / 策略 / 评测产品相关经验,matchable,Important,Partial,requirements,2.具备AI 产品经理、策略产品经理或评测产品相关经验，有ASR、大模型、智能对话、AI搜索、语音助手等方向经验者优先；,"RESP: 1.评测体系规划与建设：负责 ASR与大模型产品的评测体系设计与搭建，覆盖通用能力及专项能力（如语音识别准确率、口语化理解、多轮对话、推理、写作、多模态等）；结合产品目标定义评测维度、指标体系与流程机制，推动评测能力标准化、产品化与可持续迭代；
2.Benchmark研究与业务化落地：跟踪国内外ASR、大模型相关评测方法、行业 Benchmark 与产品趋势，分析其适用场景与优缺点；结合业务需求和真实用户场景，设计或改造评测集与任务，推动 || REQ: 1.本科及以上学历，计算机、人工智能、语言学、数据分析、人机交互或相关专业优先；
2.具备AI 产品经理、策略产品经理或评测产品相关经验，有ASR、大模型、智能对话、AI搜索、语音助手等方向经验者优先； || PREF: 1.本科及以上学历，计算机、人工智能、语言学、数据分析、人机交互或相关专业优先；",优先,,listed under the JD 'requirements' section as a preferred/bonus capability for a general_product role at 腾讯.,appears in JD section: requirements ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,70,64,70,83,13,13,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,mismatched_control,2,reqv2_866eff0ae6a7bf23,already uses AI tooling to build/ship faster,matchable,Important,Partial,requirements,"You build things because you want to, and that you already use AI to do it faster.","RESP: Partner and collaborate with senior engineers to identify where AI tooling and integrations can remove friction, and build the fix.
Build applications and integrations on top of Xsolla's APIs and SDKs that show internal teams how to move faster using AI-assiste || REQ: You build things because you want to, and that you already use AI to do it faster.
Genuine passion for building. You have side projects, hackathon entries, open-source contributions, or something you shipped just because you were curious. You didn't need an ass",,,listed under the JD 'requirements' section as a stated capability for a mismatched_control role at Xsolla.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording overlaps the JD responsibilities section ; one of 2 matchable requirements in this job,75,69,75,88,13,13,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,AI-First Engineering Intern,mismatched_control,2,reqv2_c6d51578e66e9757,side projects / self-shipped personal projects,matchable,Important,Strong,requirements,"You have side projects, hackathon entries, open-source contributions, or something you shipped just because you were curious.","RESP: Partner and collaborate with senior engineers to identify where AI tooling and integrations can remove friction, and build the fix.
Build applications and integrations on top of Xsolla's APIs and SDKs that show internal teams how to move faster using AI-assiste || REQ: You build things because you want to, and that you already use AI to do it faster.
Genuine passion for building. You have side projects, hackathon entries, open-source contributions, or something you shipped just because you were curious. You didn't need an ass",,,listed under the JD 'requirements' section as a stated capability for a mismatched_control role at Xsolla.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 2 matchable requirements in this job,75,81,75,63,12,12,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:cb813c3a-f041-4bbe-b06f-8dc2c62e6aaf,百度,AI产品经理（J98328）,ai_product,3,reqv2_5cfb41f2e516a713,一年以上产品工作经验,matchable,Preferred,Partial,preferred,本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先,"RESP: 调研医疗健康行业的用户需求，通过各类分析手段找到高价值的用户痛点
基于分析结论判断大模型技术对行业的最佳切入点，完成大模型产品的规划与设计 || REQ: 本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先
具备快速学习、逻辑思维、问题解决能力 || PREF: 本科及以上学历，拥有1年及以上产品工作经验优先，熟悉AI领域或者医疗健康行业者优先",优先,1年|年以上,listed under the JD 'preferred' section as a preferred/bonus capability for a ai_product role at 百度.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,90,72,79,90,18,11,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
greenhouse:4186650005,SES AI,Data Product Manager,data_product,3,reqv2_eb1153f86b18ee41,data analysis tools (Tableau/PowerBI/FineBI/SQL),matchable,Preferred,Partial,preferred,"Proficient in Axure and other product prototype tools; familiar with Tableau, PowerBI, FineBI, SQL and other data analysis tools is preferred","RESP: Responsible for battery data and algorithm product planning, design and product lifecycle management
Had a deep understanding of battery business, continued business research, planned and designed prototypes of data and algorithm products, and cooperated with business parties and product R&D to implement data products. || REQ: Bachelor’s degree or above, more than 3 years of data or algorithm product experience, with battery industry big data and algorithm product experience is preferred
Proficient in Axure and other product prototype tools; familiar with Tableau, PowerBI, FineBI, SQL and other data analysis tools is preferred || PREF: Bachelor’s degree or above, more than 3 years of data or algorithm product experience, with battery industry big data and algorithm product experience is preferred",,,listed under the JD 'preferred' section as a stated capability for a data_product role at SES AI.,appears in JD section: preferred ; not phrased as a 优先/加分 bonus clause ; wording overlaps the JD responsibilities section ; one of 3 matchable requirements in this job,10,28,21,10,18,11,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,百度,大模型应用平台产品经理（J85776）,ai_product,3,reqv2_d154fbace582cc6a,团队协作与沟通能力,matchable,Important,Strong,requirements,-具备较强团队协作和沟通能力，思维活跃，认真细致、学习能力、适应能力强,"RESP: -负责大模型应用开发平台相关的产品规划和设计，包括Agent框架、RAG检索增强、工作流等
-与研发团队保持紧密合作，协调组织设计、工程、算法、测试等资源，推动产品发布和项目落地
-协同运营、销售等合作团队，深入调研开发者、企业客户及行业需求，不断提升产品能力和落地效果，确保产品持续满足市场需求
-跟踪国内外大模型平台产品动态，制定差异化竞争策略，推动技术与业务结合的创新落地 || REQ: -本科及以上学历，3年以上AI领域产品经验，有AI平台类/B端产品经验者优先
-了解大模型、Agent、RAG等技术及其核心原理，具备较强的技术理解能力
-具备复杂需求抽象能力，对于目标客户群体场景和痛点有深刻理解，熟练使用产品经理相关工具
-具备较强团队协作和沟通能力，思维活跃，认真细致、学习能力、适应能力强 || PREF: 有AI平台类/B端产品经验者优先",,3年|年以上,listed under the JD 'requirements' section as a stated capability for a ai_product role at 百度.,appears in JD section: requirements ; not phrased as a 优先/加分 bonus clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,71,78,71,60,11,11,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
tencent:2078278970276753408,腾讯,腾讯云-经营系统产品经理,general_product,3,reqv2_797f42487cad1cf5,企业合同管理流程 / 系统设计经验,matchable,Preferred,Missing,preferred,1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；,"RESP: 1.负责腾讯云合同管理系统的产品策划，涉及合同全生命周期管理，包括合同的起草、审批、签订、履行、变更和终止；
2.研究客户行为与需求场景，深入理解客户需求，研究竞品、制定产品目标； || REQ: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；
2.有良好的沟通协调能力，能胜任跨团队沟通； || PREF: 1.本科及以上学历，3年及以上ToB互联网产品策划经验，熟悉企业经营管理流程，参与建立或优化企业合同管理流程及合同管理系统设计的优先；",优先,3年,listed under the JD 'preferred' section as a preferred/bonus capability for a general_product role at 腾讯.,appears in JD section: preferred ; phrased inside a 优先/加分 (bonus) clause ; wording does not obviously echo the JD responsibilities section ; one of 3 matchable requirements in this job,43,27,33,43,16,10,new-20: pre-annotation-authored under annotation-rubric-v2 (no LLM/matcher); never explicitly human-reviewed,,pending,,
