risk_score,job_title,job_id,requirement_id,requirement_type,importance,gt_label,score_included,normalized_requirement,wording_flags,important_preferred_flip_delta,job_matchable_count,job_baseline_gt_score,importance_human_verified,human_importance,importance_review_status,human_importance_notes
5,AI产品经理-AI平台（Agent）方向,tencent:2088450750270324736,reqv2_e0d891d785e65c39,matchable,Preferred,Partial,True,相关 AI 产品生态经验（对话/推荐/搜索/知识管理/开放平台/MCP/AI 工具）,优先,4,5,77,False,,pending,
5,AI大模型架构师（训练/推理）,huawei:28183,reqv2_80ee520d35aba9cc,matchable,Preferred,Missing,True,熟悉 vLLM、SGLang 等大模型推理框架,优先,4,8,42,False,,pending,
5,AI大模型架构师（训练/推理）,huawei:28183,reqv2_add5785a52626200,matchable,Preferred,Missing,True,GPU 或国产计算卡算子开发经验,优先,4,8,42,False,,pending,
5,AI大模型架构师（训练/推理）,huawei:28183,reqv2_c9a1b9d71f995b37,matchable,Preferred,Missing,True,顶级会议论文发表,优先,4,8,42,False,,pending,
4,AI产品经理,tencent:2092538895714664448,reqv2_7c8882c717660066,matchable,Important,Strong,True,独立完成需求分析、产品设计、项目推进与数据迭代,,25,2,75,False,,pending,
4,腾讯云-经营系统产品经理,tencent:2078278970276753408,reqv2_bee05a7871209904,matchable,Important,Strong,True,沟通协调与跨团队沟通能力,,23,3,43,False,,pending,
4,腾讯会议-AI产品经理-ASR方向,tencent:2036621556322562048,reqv2_e913e8618fce3ef0,matchable,Important,Strong,True,用户感知力与问题发现解决能力,,14,3,50,False,,pending,
4,光子 AI-数据平台产品经理,tencent:2077246089718837248,reqv2_5b0126d99d34bf17,matchable,Important,Strong,True,结构化思维：将复杂业务拆解为产品模块 / 数据流程 / 权限,,13,2,88,False,,pending,
4,AI-First Engineering Intern,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,reqv2_c6d51578e66e9757,matchable,Important,Strong,True,side projects / self-shipped personal projects,,12,2,75,False,,pending,
4,大模型应用平台产品经理（J85776）,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_d154fbace582cc6a,matchable,Important,Strong,True,团队协作与沟通能力,,11,3,71,False,,pending,
4,大模型产品经理（J72652）,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,reqv2_7ed2b166528d9d17,matchable,Important,Strong,True,沟通推动、协作与表达能力,,8,4,75,False,,pending,
4,AI大模型架构师（训练/推理）,huawei:28183,reqv2_c88202cea56f40e4,matchable,Important,Strong,True,逻辑/概率思维、分析归纳、沟通与问题解决能力,,8,8,42,False,,pending,
4,Data Product Manager,greenhouse:4186650005,reqv2_b6366022b1c1d5ae,matchable,Important,Missing,True,product prototyping tools (Axure),,7,3,10,False,,pending,
4,AI产品经理（J84492）,baidu:6de8b72f-3c95-4078-be9e-df2602a9aab5,reqv2_4ac50e528b3f51b6,matchable,Preferred,Strong,True,用户行为研究或商业分析经验,优先,6,3,80,False,,pending,
4,大模型产品经理（J72652）,baidu:ff9ed74c-8ec5-41f6-8a4c-1950500bd9f2,reqv2_c3091ed2eca6d9f3,matchable,Preferred,Strong,True,具备一定技术背景,优先,5,4,75,False,,pending,
4,AI产品经理-AI平台（Agent）方向,tencent:2088450750270324736,reqv2_377262a20b779d20,matchable,Important,Strong,True,具有完整 AI 产品落地经历,年以上,5,5,77,False,,pending,
4,AI大模型架构师（训练/推理）,huawei:28183,reqv2_1c9199d15075aa37,matchable,Important,Missing,True,大模型精度调优、基模或强化学习训练经验,,5,8,42,False,,pending,
4,微信输入法-AI产品经理,tencent:1978467627152072704,reqv2_379e8bc24f903143,matchable,Important,Strong,True,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,优先,4,8,73,False,,pending,
4,腾讯视频-增长产品经理,tencent:2083093175941115904,reqv2_7ed93fe4bb09d26f,matchable,Important,Strong,True,通过数据分析驱动产品迭代,熟练,4,5,77,False,,pending,
4,微信输入法-AI产品经理,tencent:1978467627152072704,reqv2_e402249eb2353772,matchable,Preferred,Partial,True,AI 评测体系搭建或策略产品经验,优先,3,8,73,False,,pending,
4,微信输入法-AI产品经理,tencent:1978467627152072704,reqv2_0d2628dae4ed1e9d,matchable,Preferred,Partial,True,算法工作经验,优先,3,8,73,False,,pending,
4,证券-AI产品经理-金融AI应用体验方向,tencent:2052527703940313088,reqv2_8a7ced10d1e674e6,matchable,Important,Partial,True,从 0 到 1 主导项目并取得可验证成果,主导,3,6,75,False,,pending,
4,金融科技-AI数据产品经理-数据开发方向,tencent:2047239002926510080,reqv2_a6ad3fd74c22598d,matchable,Important,Partial,True,理解数仓架构、熟悉数据开发与治理流程,熟练,3,9,82,False,,pending,
4,微信输入法-AI产品经理,tencent:1978467627152072704,reqv2_331e5372454cf54a,matchable,Important,Partial,True,系统性思考、问题拆解与从 0 到 1,负责|独立负责,2,8,73,False,,pending,
4,AI大模型架构师（训练/推理）,huawei:28183,reqv2_c2f1c7d80e0cbd8a,matchable,Important,Partial,True,熟练使用 Python 与 C++,熟练,1,8,42,False,,pending,
4,AI产品经理（J84006）,baidu:7d5223fc-87b7-41ab-aef9-73aede246b65,reqv2_5e6ddc3dc186642c,eligibility,Critical,PotentialGap,False,两年以上产品设计经验,优先|年以上,,,,False,,pending,
4,AI产品经理（J96736）,baidu:6182a4d3-51af-4396-af24-a3d690326bff,reqv2_4f38de60d0084540,eligibility,Critical,PotentialGap,False,两年以上 AI 产品或相关领域工作经验,年以上,,,,False,,pending,
4,大模型应用平台产品经理（J85776）,baidu:aa3be39c-798a-4d92-a5af-1c84fa63b049,reqv2_553e1a20a4ee2f4f,eligibility,Critical,PotentialGap,False,三年以上 AI 领域产品经验,优先|年以上,,,,False,,pending,
4,AI产品经理,tencent:2092538895714664448,reqv2_db114bb43e8ff622,eligibility,Critical,PotentialGap,False,三年以上互联网产品经验,优先|年以上,,,,False,,pending,
4,QQ-Agent产品经理,tencent:2077347119940939776,reqv2_40daa47ca53bd55c,eligibility,Critical,PotentialGap,False,三年以上产品经理工作经验,优先|年以上,,,,False,,pending,
4,腾讯会议-AI产品经理-ASR方向,tencent:2036621556322562048,reqv2_ec3870365b19bae7,eligibility,Critical,PotentialGap,False,三年以上智能语音 / NLP / AI 相关领域产品经验,年以上,,,,False,,pending,
4,证券-AI产品经理-金融AI应用体验方向,tencent:2052527703940313088,reqv2_0d9131868b5ea866,eligibility,Critical,PotentialGap,False,三年以上互联网产品经验,年以上,,,,False,,pending,
4,光子 AI-数据平台产品经理,tencent:2077246089718837248,reqv2_de1b8852dedb639b,eligibility,Critical,PotentialGap,False,三年以上产品经理经验,优先|年以上,,,,False,,pending,
4,大数据产品经理（深圳/北京）,tencent:2013806539382611968,reqv2_d65a91721a2406a6,eligibility,Critical,PotentialGap,False,三年以上工作经验,年以上,,,,False,,pending,
4,企业微信-基础产品经理,tencent:1994013057063473152,reqv2_d65a91721a2406a6,eligibility,Critical,PotentialGap,False,三年以上工作经验,年以上,,,,False,,pending,
4,腾讯云-经营系统产品经理,tencent:2078278970276753408,reqv2_8b110c336ed920be,eligibility,Critical,PotentialGap,False,三年以上 ToB 互联网产品策划经验,优先|年以上,,,,False,,pending,
4,腾讯会议-评测产品经理,tencent:2041409199149314048,reqv2_ccecb033f69f85ba,eligibility,Critical,PotentialGap,False,两年以上工作经验,年以上,,,,False,,pending,
4,AI大模型架构师（训练/推理）,huawei:28183,reqv2_5e2cf4ee89770c19,eligibility,Critical,PotentialGap,False,五年以上工作经验,年以上,,,,False,,pending,
4,大模型策略产品经理（J97330）,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,reqv2_8c4d70d605961309,matchable,Preferred,Missing,True,戏剧影视文学、创意写作或文学相关专业,优先,0,4,0,False,,pending,
4,大模型策略产品经理（J97330）,baidu:f9302c30-aace-449e-8a6d-97c53f4dbf53,reqv2_625b09ad16b202a8,matchable,Preferred,Missing,True,短视频、短剧或漫剧行业资深从业经验,优先|加分|资深,0,4,0,False,,pending,
4,腾讯视频-增长产品经理,tencent:2083093175941115904,reqv2_648e3cbb6c5e8231,eligibility,Critical,PotentialGap,False,三至五年互联网产品经验,优先,,,,False,,pending,
