priority_tier,scenario_id,scenario_category,job_title,career_stage,role_family,requirement_text,requirement_type,importance,expected_label,gt_rationale,candidate_evidence_referenced,why_this_is_a_probe,gt_inconsistency_risk,human_review_status,human_label,human_notes
D_project_vs_formal_work_probes,B05,project_vs_formal_work,AI Agent 产品专家,experienced,ai_product,具备 Agent 设计交付、上下文工程、人机协同与质量评估的完整动手经验,matchable,Critical,Partial,有 AI/LLM 交付+RAG+模型评估，但冻结证据不足以证明上下文工程+HITL 完整覆盖 → Partial,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B05,project_vs_formal_work,AI Agent 产品专家,experienced,ai_product,在 Agent 架构层面与工程团队深度对齐,matchable,Important,Partial,"有 LLM 后端集成，但无 Agent 架构层面与工程对齐证据 (ev 28,product_experience:5)","ev 28,product_experience:5","Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B06,project_vs_formal_work,金融 AI 产品经理,early_career,strategy_growth_fintech_product,有金融行业 AI 落地项目经验,matchable,Critical,Strong,"支付/银行/金融产品/合规 (ev 16,24,26,domain_experience:0)","ev 16,24,26,domain_experience:0","Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B07,project_vs_formal_work,AI 产品经理（实习转正）,campus_new_grad,ai_product,有 AI 产品的深度使用与实践经验,matchable,Critical,Strong,"中国电子云大模型实习 + GoFin LLM 产品设计/交付 (ev 21,28,ai_experience:0)","ev 21,28,ai_experience:0","Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B08,project_vs_formal_work,高级产品经理,experienced,general_product,独立负责过完整产品线的商业化闭环,matchable,Critical,Partial,Product Owner 主导需求→交付，但无独立量化业务成果 (ev 28),ev 28,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B01,project_vs_formal_work,资深 AI 产品经理,experienced,ai_product,3 年以上正式 AI 产品经理工作经验,eligibility,Critical,PotentialGap,已验证为早期职业/应届+实习+单段 Product Owner，与‘3年以上正式工作经验’门槛存在明确冲突,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B02,project_vs_formal_work,AI 产品负责人,experienced,ai_product,5 年以上产品经验，含 3 年以上团队管理,eligibility,Critical,PotentialGap,已验证经历不足 5 年正式产品经验，与门槛冲突,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B04,project_vs_formal_work,企业 AI 产品经理,early_career,platform_enterprise_product,3 年以上 B 端 / 企业级产品经验,eligibility,Critical,PotentialGap,已验证为早期职业/应届+实习+单段 Product Owner，与‘3年以上正式工作经验’门槛存在明确冲突,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B06,project_vs_formal_work,金融 AI 产品经理,early_career,strategy_growth_fintech_product,3 年以上金融科技产品经验,eligibility,Critical,PotentialGap,已验证为早期职业/应届+实习+单段 Product Owner，与‘3年以上正式工作经验’门槛存在明确冲突,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B07,project_vs_formal_work,AI 产品经理（实习转正）,campus_new_grad,ai_product,至少 1 段 AI 产品实习经验,eligibility,Critical,Supported,已验证中国电子云大模型实习 → 满足至少 1 段 AI 产品实习,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
D_project_vs_formal_work_probes,B08,project_vs_formal_work,高级产品经理,experienced,general_product,8 年以上产品经验,eligibility,Critical,PotentialGap,已验证经历远不足 8 年，与门槛冲突,see gt_rationale,"Project-vs-formal-work probe: tests the eligibility/matchable boundary between project or internship evidence and a formal-tenure / formal-role requirement — years gates must not be satisfied by projects, and hands-on delivery asks must not be under-credited to Missing.",,pending,,
E_partial_labelled_probes,A03,technology_adjacency,模型训练平台产品经理,experienced,platform_enterprise_product,熟悉大模型训练流程与实验管理,matchable,Important,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)","ev 19,22,ai_experience:11","Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
E_partial_labelled_probes,A08,technology_adjacency,强化学习训练产品经理,experienced,platform_enterprise_product,有模型效果评估经验,matchable,Important,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)","ev 19,22,ai_experience:11","Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
E_partial_labelled_probes,C01,strong_partial_boundary,数据分析产品经理,early_career,data_product,理解数据仓库架构并熟悉数据治理全流程,matchable,Critical,Partial,"有数据架构与自动化 ETL，但无数仓+数据治理全流程证据 (ev 18,technical_experience:8)","ev 18,technical_experience:8","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C02,strong_partial_boundary,RAG 知识库产品经理,campus_new_grad,ai_product,有 RAG 系统的生产环境部署与调优经验,matchable,Critical,Partial,,see gt_rationale,"Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",HIGH,pending,,
E_partial_labelled_probes,C03,strong_partial_boundary,数据产品经理,early_career,data_product,曾以数据产品经理身份独立负责完整数据产品,matchable,Critical,Partial,"有数据体系/运营/产品策划，但未以数据产品经理身份负责完整产品 (ev 16,18,28)","ev 16,18,28","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C04,strong_partial_boundary,AI 平台产品经理,experienced,platform_enterprise_product,有企业级 SaaS / 多租户 / 可配置平台产品经验,matchable,Critical,Partial,有可配置财务平台产品，但无企业 SaaS/多租户证据 (ev 28),ev 28,"Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C05,strong_partial_boundary,AI Agent 评测产品经理,early_career,ai_product,有 Agent 专项评测体系搭建经验,matchable,Critical,Partial,"有模型性能评估与 Agent 产品测试，但无 Agent 专项评测体系 (ev ai_experience:11,28)","ev ai_experience:11,28","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C05,strong_partial_boundary,AI Agent 评测产品经理,early_career,ai_product,有模型效果评估与数据驱动评测能力,matchable,Important,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)","ev 19,22,ai_experience:11","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C06,strong_partial_boundary,大模型应用产品经理,campus_new_grad,ai_product,具备 Prompt / 上下文工程的完整实践经验,matchable,Critical,Partial,"LLM/RAG/Agent 交付明确，但无单独可验证的 Prompt/上下文工程完整实践 (ev 28,ai_experience:0,4)","ev 28,ai_experience:0,4","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C07,strong_partial_boundary,技术产品经理,early_career,platform_enterprise_product,熟练使用 Python 与 C++,matchable,Important,Partial,"Python 明确；C/C++ 仅技能声明无项目证据 → Partial (ev skills:0,1,30)","ev skills:0,1,30","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,C08,strong_partial_boundary,AI 产品经理（增长方向）,early_career,strategy_growth_fintech_product,有从 0 到 1 主导产品并取得可量化业务成果的经历,matchable,Critical,Partial,Product Owner 主导需求→交付，但无独立量化业务成果 (ev 28),ev 28,"Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
E_partial_labelled_probes,D03,partial_missing_boundary,AI 基础设施产品经理,experienced,platform_enterprise_product,熟悉大模型训练与推理链路,matchable,Important,Partial,"有 KPI/训练数据/模型评估，但未独立设计 AI 产品评测集 (ev 19,22,ai_experience:11)","ev 19,22,ai_experience:11",Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
E_partial_labelled_probes,G06,role_core_mismatch,战略与商业分析,experienced,strategy_growth_fintech_product,有战略咨询 / 商业分析 / 行业研究经验,matchable,Critical,Partial,"金融科技教育 + 基金/股票产品与证券相邻，不足以证明深刻理解 (ev 24,domain_experience:0)","ev 24,domain_experience:0","Role-core-mismatch / AI-keyword-trap probe: role's actual core responsibility is non-AI (or a mention of AI is decorative) — tests whether the matcher over-credits AI keywords instead of assessing the role's real core requirement, and whether role_family classification resists the AI-keyword trap.",,pending,,
F_remaining_probes,A01,technology_adjacency,多模态大模型产品经理,campus_new_grad,ai_product,具备图文 / 视频 / 语音多模态大模型产品经验,matchable,Critical,Missing,仅 LLM/RAG，无多模态(图文/视频/语音)大模型产品证据,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A02,technology_adjacency,语音交互产品经理,early_career,ai_product,有语音识别 (ASR) / 语音交互产品经验,matchable,Critical,Missing,无语音识别(ASR)/语音交互产品证据；对话式 chatbot ≠ ASR,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A03,technology_adjacency,模型训练平台产品经理,experienced,platform_enterprise_product,有大模型精度调优 / 基模训练 / 强化学习训练经验,matchable,Critical,Missing,"仅一般模型训练辅助与性能评估；大模型精度调优/基模/强化学习训练技术相邻不足以判 Partial (ev 22,ai_experience:11)","ev 22,ai_experience:11","Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A04,technology_adjacency,推荐策略产品经理,early_career,ai_product,有推荐系统召回 / 排序 / 重排的专项策略经验,matchable,Critical,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A05,technology_adjacency,搜索产品经理,early_career,ai_product,有搜索排序 / 相关性策略的实际项目经验,matchable,Critical,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A06,technology_adjacency,多模态内容生成产品经理,campus_new_grad,ai_product,有图文 / 视频多模态生成产品经验,matchable,Critical,Missing,仅 LLM/RAG，无多模态(图文/视频/语音)大模型产品证据,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A07,technology_adjacency,语音大模型产品经理,early_career,ai_product,有语音大模型 / TTS / 语音合成产品经验,matchable,Critical,Missing,无语音识别(ASR)/语音交互产品证据；对话式 chatbot ≠ ASR,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A08,technology_adjacency,强化学习训练产品经理,experienced,platform_enterprise_product,有 RLHF / 强化学习 / 偏好对齐训练经验,matchable,Critical,Missing,"仅一般模型训练辅助与性能评估；大模型精度调优/基模/强化学习训练技术相邻不足以判 Partial (ev 22,ai_experience:11)","ev 22,ai_experience:11","Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A09,technology_adjacency,大模型推理引擎产品经理,experienced,platform_enterprise_product,熟悉 vLLM / SGLang 等大模型推理框架,matchable,Critical,Missing,无 vLLM/SGLang 等推理框架使用证据,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A09,technology_adjacency,大模型推理引擎产品经理,experienced,platform_enterprise_product,有 GPU / 国产算力卡算子开发经验,matchable,Important,Missing,无 GPU/国产算力卡算子开发证据,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A10,technology_adjacency,广告投放策略产品经理,campus_new_grad,ai_product,有广告 / 推荐 / 竞价策略相关产品经验,matchable,Critical,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,A10,technology_adjacency,广告投放策略产品经理,campus_new_grad,ai_product,有 A/B 实验设计与执行经验,matchable,Important,Missing,有数据分析，无 A/B 实验设计或执行记录 (复合拆分),no supporting evidence in frozen candidate_evidence_snapshot,"Technology-adjacency probe: tests whether adjacent/general AI evidence (e.g. general LLM/RAG, chatbot) is wrongly upgraded to Partial instead of correctly resolving to Missing for a distinct specialised capability.",,pending,,
F_remaining_probes,C07,strong_partial_boundary,技术产品经理,early_career,platform_enterprise_product,具备技术背景，能与工程团队深度协作,matchable,Important,Strong,"Product Owner：客户汇报/优先级/跨团队交付 (ev 28,product_experience:5)","ev 28,product_experience:5","Strong/Partial-boundary probe: evidence is real and meaningfully related but materially incomplete relative to what the requirement asks — tests whether the matcher correctly resolves Partial (not Strong, not Missing).",,pending,,
F_remaining_probes,D01,partial_missing_boundary,推荐算法产品经理,early_career,ai_product,有推荐 / 排序策略的实际项目经验,matchable,Critical,Missing,仅一般 AI 产品经验，无推荐/搜索排序专项策略证据；相邻不足以判 Partial,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D02,partial_missing_boundary,语音产品经理,campus_new_grad,ai_product,有语音识别或语音合成产品经验,matchable,Critical,Missing,无语音识别(ASR)/语音交互产品证据；对话式 chatbot ≠ ASR,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D04,partial_missing_boundary,多模态产品经理,early_career,ai_product,有视频理解 / 视频生成的产品经验,matchable,Critical,Missing,无视频理解/生成产品证据,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D05,partial_missing_boundary,内容创作平台产品经理,campus_new_grad,mismatched_control,有短剧 / 漫剧 / 小说创作全流程经验,matchable,Critical,Missing,无短剧/漫剧/小说创作全流程或内容行业资深经验,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D05,partial_missing_boundary,内容创作平台产品经理,campus_new_grad,mismatched_control,有内容行业(短视频/短剧/漫剧)资深从业经验,matchable,Important,Missing,无短剧/漫剧/小说创作全流程或内容行业资深经验,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D07,partial_missing_boundary,研究型 AI 产品经理,experienced,ai_product,有顶级会议(NeurIPS/ICML/ACL 等)论文发表,matchable,Important,Missing,无顶级会议论文发表记录,no supporting evidence in frozen candidate_evidence_snapshot,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,,pending,,
F_remaining_probes,D08,partial_missing_boundary,开放平台产品经理,early_career,platform_enterprise_product,有开放平台 / 插件生态 / MCP 建设经验,matchable,Critical,Missing,,see gt_rationale,Partial/Missing-boundary probe: evidence is only weak or tangential — tests whether the matcher wrongly uses Partial as an uncertainty bucket instead of correctly resolving to Missing.,HIGH,pending,,
F_remaining_probes,G01,role_core_mismatch,私域用户运营专员,campus_new_grad,mismatched_control,有私域社群 / SCRM 运营经验,matchable,Critical,Missing,无私域社群/SCRM 运营经验,no supporting evidence in frozen candidate_evidence_snapshot,"Role-core-mismatch / AI-keyword-trap probe: role's actual core responsibility is non-AI (or a mention of AI is decorative) — tests whether the matcher over-credits AI keywords instead of assessing the role's real core requirement, and whether role_family classification resists the AI-keyword trap.",,pending,,
F_remaining_probes,G01,role_core_mismatch,私域用户运营专员,campus_new_grad,mismatched_control,有用户增长 / 转化优化经验,matchable,Important,Strong,"KPay 增长策略/增长运营/转化优化 (ev 16,19,domain_experience:3)","ev 16,19,domain_experience:3","Role-core-mismatch / AI-keyword-trap probe: role's actual core responsibility is non-AI (or a mention of AI is decorative) — tests whether the matcher over-credits AI keywords instead of assessing the role's real core requirement, and whether role_family classification resists the AI-keyword trap.",,pending,,
F_remaining_probes,G02,role_core_mismatch,商业化销售运营,early_career,mismatched_control,有 B 端销售 / 渠道商务拓展经验,matchable,Critical,Missing,无 B 端销售/渠道商务拓展经验,no supporting evidence in frozen candidate_evidence_snapshot,"Role-core-mismatch / AI-keyword-trap probe: role's actual core responsibility is non-AI (or a mention of AI is decorative) — tests whether the matcher over-credits AI keywords instead of assessing the role's real core requirement, and whether role_family classification resists the AI-keyword trap.",,pending,,
F_remaining_probes,G03,role_core_mismatch,智能硬件产品经理,experienced,mismatched_control,有智能硬件 / 终端产品从设计到量产的经验,matchable,Critical,Missing,无智能硬件/终端产品从设计到量产经验,no supporting evidence in frozen candidate_evidence_snapshot,"Role-core-mismatch / AI-keyword-trap probe: role's actual core responsibility is non-AI (or a mention of AI is decorative) — tests whether the matcher over-credits AI keywords instead of assessing the role's real core requirement, and whether role_family classification resists the AI-keyword trap.",,pending,,
