priority_tier,scenario_id,scenario_category,job_title,career_stage,role_family,requirement_text,requirement_type,importance,draft_importance,importance_rationale,expected_label,gt_inconsistency_risk,human_match_label_adjudicated,human_importance,importance_review_status,importance_uncertain,human_importance_notes
D_project_vs_formal_work_probes,B03,project_vs_formal_work,AI 应用交付产品经理,campus_new_grad,ai_product,有 AI 功能的完整动手交付经验（强调实操而非正式任职年限）,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
D_project_vs_formal_work_probes,B04,project_vs_formal_work,企业 AI 产品经理,early_career,platform_enterprise_product,有企业级 SaaS / 多租户产品经验,matchable,Important,Important,draft=Important. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
D_project_vs_formal_work_probes,B05,project_vs_formal_work,AI Agent 产品专家,experienced,ai_product,具备 Agent 设计交付、上下文工程、人机协同与质量评估的完整动手经验,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
D_project_vs_formal_work_probes,B05,project_vs_formal_work,AI Agent 产品专家,experienced,ai_product,在 Agent 架构层面与工程团队深度对齐,matchable,Important,Important,draft=Important. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
D_project_vs_formal_work_probes,B06,project_vs_formal_work,金融 AI 产品经理,early_career,strategy_growth_fintech_product,有金融行业 AI 落地项目经验,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
D_project_vs_formal_work_probes,B07,project_vs_formal_work,AI 产品经理（实习转正）,campus_new_grad,ai_product,有 AI 产品的深度使用与实践经验,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
D_project_vs_formal_work_probes,B08,project_vs_formal_work,高级产品经理,experienced,general_product,独立负责过完整产品线的商业化闭环,matchable,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
D_project_vs_formal_work_probes,B01,project_vs_formal_work,资深 AI 产品经理,experienced,ai_product,3 年以上正式 AI 产品经理工作经验,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,PotentialGap,,,,pending,,
D_project_vs_formal_work_probes,B02,project_vs_formal_work,AI 产品负责人,experienced,ai_product,5 年以上产品经验，含 3 年以上团队管理,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,PotentialGap,,,,pending,,
D_project_vs_formal_work_probes,B04,project_vs_formal_work,企业 AI 产品经理,early_career,platform_enterprise_product,3 年以上 B 端 / 企业级产品经验,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,PotentialGap,,,,pending,,
D_project_vs_formal_work_probes,B06,project_vs_formal_work,金融 AI 产品经理,early_career,strategy_growth_fintech_product,3 年以上金融科技产品经验,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,PotentialGap,,,,pending,,
D_project_vs_formal_work_probes,B07,project_vs_formal_work,AI 产品经理（实习转正）,campus_new_grad,ai_product,至少 1 段 AI 产品实习经验,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Supported,,,,pending,,
D_project_vs_formal_work_probes,B08,project_vs_formal_work,高级产品经理,experienced,general_product,8 年以上产品经验,eligibility,Critical,Critical,draft=Critical. eligibility years/tenure gate — generator set it Critical as a blocking gate; note eligibility does NOT enter Match Score. Job-side wording / responsibility-centrality NOT yet human-confirmed.,PotentialGap,,,,pending,,
E_partial_labelled_probes,A03,technology_adjacency,模型训练平台产品经理,experienced,platform_enterprise_product,熟悉大模型训练流程与实验管理,matchable,Important,Important,draft=Important. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,A08,technology_adjacency,强化学习训练产品经理,experienced,platform_enterprise_product,有模型效果评估经验,matchable,Important,Important,draft=Important. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C01,strong_partial_boundary,数据分析产品经理,early_career,data_product,理解数据仓库架构并熟悉数据治理全流程,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C02,strong_partial_boundary,RAG 知识库产品经理,campus_new_grad,ai_product,有 RAG 系统的生产环境部署与调优经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,HIGH,Partial,,pending,,
E_partial_labelled_probes,C03,strong_partial_boundary,数据产品经理,early_career,data_product,曾以数据产品经理身份独立负责完整数据产品,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C04,strong_partial_boundary,AI 平台产品经理,experienced,platform_enterprise_product,有企业级 SaaS / 多租户 / 可配置平台产品经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C05,strong_partial_boundary,AI Agent 评测产品经理,early_career,ai_product,有 Agent 专项评测体系搭建经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C05,strong_partial_boundary,AI Agent 评测产品经理,early_career,ai_product,有模型效果评估与数据驱动评测能力,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C06,strong_partial_boundary,大模型应用产品经理,campus_new_grad,ai_product,具备 Prompt / 上下文工程的完整实践经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C07,strong_partial_boundary,技术产品经理,early_career,platform_enterprise_product,熟练使用 Python 与 C++,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,C08,strong_partial_boundary,AI 产品经理（增长方向）,early_career,strategy_growth_fintech_product,有从 0 到 1 主导产品并取得可量化业务成果的经历,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
E_partial_labelled_probes,D03,partial_missing_boundary,AI 基础设施产品经理,experienced,platform_enterprise_product,熟悉大模型训练与推理链路,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,Partial,,pending,,
E_partial_labelled_probes,G06,role_core_mismatch,战略与商业分析,experienced,strategy_growth_fintech_product,有战略咨询 / 商业分析 / 行业研究经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Partial,,,,pending,,
F_remaining_probes,A01,technology_adjacency,多模态大模型产品经理,campus_new_grad,ai_product,具备图文 / 视频 / 语音多模态大模型产品经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A02,technology_adjacency,语音交互产品经理,early_career,ai_product,有语音识别 (ASR) / 语音交互产品经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A03,technology_adjacency,模型训练平台产品经理,experienced,platform_enterprise_product,有大模型精度调优 / 基模训练 / 强化学习训练经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A04,technology_adjacency,推荐策略产品经理,early_career,ai_product,有推荐系统召回 / 排序 / 重排的专项策略经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A05,technology_adjacency,搜索产品经理,early_career,ai_product,有搜索排序 / 相关性策略的实际项目经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A06,technology_adjacency,多模态内容生成产品经理,campus_new_grad,ai_product,有图文 / 视频多模态生成产品经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A07,technology_adjacency,语音大模型产品经理,early_career,ai_product,有语音大模型 / TTS / 语音合成产品经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A08,technology_adjacency,强化学习训练产品经理,experienced,platform_enterprise_product,有 RLHF / 强化学习 / 偏好对齐训练经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A09,technology_adjacency,大模型推理引擎产品经理,experienced,platform_enterprise_product,熟悉 vLLM / SGLang 等大模型推理框架,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A09,technology_adjacency,大模型推理引擎产品经理,experienced,platform_enterprise_product,有 GPU / 国产算力卡算子开发经验,matchable,Important,Important,draft=Important. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A10,technology_adjacency,广告投放策略产品经理,campus_new_grad,ai_product,有广告 / 推荐 / 竞价策略相关产品经验,matchable,Critical,Critical,draft=Critical. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,A10,technology_adjacency,广告投放策略产品经理,campus_new_grad,ai_product,有 A/B 实验设计与执行经验,matchable,Important,Important,draft=Important. probe sits at the scenario's core capability under test; generator set it Critical to make the adjacency decision decisive. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,C07,strong_partial_boundary,技术产品经理,early_career,platform_enterprise_product,具备技术背景，能与工程团队深度协作,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
F_remaining_probes,D01,partial_missing_boundary,推荐算法产品经理,early_career,ai_product,有推荐 / 排序策略的实际项目经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D02,partial_missing_boundary,语音产品经理,campus_new_grad,ai_product,有语音识别或语音合成产品经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D04,partial_missing_boundary,多模态产品经理,early_career,ai_product,有视频理解 / 视频生成的产品经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D05,partial_missing_boundary,内容创作平台产品经理,campus_new_grad,mismatched_control,有短剧 / 漫剧 / 小说创作全流程经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D05,partial_missing_boundary,内容创作平台产品经理,campus_new_grad,mismatched_control,有内容行业(短视频/短剧/漫剧)资深从业经验,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D07,partial_missing_boundary,研究型 AI 产品经理,experienced,ai_product,有顶级会议(NeurIPS/ICML/ACL 等)论文发表,matchable,Important,Important,draft=Important. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,D08,partial_missing_boundary,开放平台产品经理,early_career,platform_enterprise_product,有开放平台 / 插件生态 / MCP 建设经验,matchable,Critical,Critical,draft=Critical. probe is the scenario's core capability under test; generator set it Critical. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,HIGH,Missing,,pending,,
F_remaining_probes,G01,role_core_mismatch,私域用户运营专员,campus_new_grad,mismatched_control,有私域社群 / SCRM 运营经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,G01,role_core_mismatch,私域用户运营专员,campus_new_grad,mismatched_control,有用户增长 / 转化优化经验,matchable,Important,Important,draft=Important. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
F_remaining_probes,G02,role_core_mismatch,商业化销售运营,early_career,mismatched_control,有 B 端销售 / 渠道商务拓展经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,G03,role_core_mismatch,智能硬件产品经理,experienced,mismatched_control,有智能硬件 / 终端产品从设计到量产的经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
F_remaining_probes,G04,role_core_mismatch,通用产品经理（关注 AI）,campus_new_grad,general_product,有通用 C 端产品的需求分析与原型设计经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Strong,,,,pending,,
F_remaining_probes,G05,role_core_mismatch,电商运营产品经理,early_career,mismatched_control,有电商平台运营 / 供应链产品经验,matchable,Critical,Critical,draft=Critical. for mismatch/AI-keyword-trap jobs the generator set the true role-core requirement Critical and any AI-mention requirement Preferred/subjective. Job-side wording / responsibility-centrality NOT yet human-confirmed.,Missing,,,,pending,,
