model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
kimi-k3,tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,GoFin 项目中负责 LLM 集成、RAG 和对话式目标创建，体现了 AI 产品化落地能力，但项目是否面向 C 端用户未被证据直接证实。,misclassification
kimi-k3,tencent:1978467627152072704,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:resume:1:product_experience:9|resume_extracted:30,True,作为 GoFin 产品负责人独立负责需求、Backlog、User Stories 到跨职能交付的完整闭环，并作为项目负责人交付百万级数据分析项目，体现了从 0 到 1 的问题拆解与系统推进能力。,misclassification
kimi-k3,tencent:2036621556322562048,腾讯,reqv2_1125bb9c519be4f4,掌握语音产品性能评估方法,Partial,Missing,resume_extracted:resume:1:ai_experience:11|resume_extracted:22,,True,当前已验证的简历与经历事实中，暂未找到支持该要求的证据。,misclassification
kimi-k3,tencent:2052527703940313088,腾讯,reqv2_5dfabc3bf0e9566f,具有 AI 原生或 Agent 产品完整落地经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,在 GoFin 项目中负责 LLM 集成与 RAG 功能，并在中国电子云参与大模型应用需求讨论，具备 AI 产品相关实践。但缺乏 AI 原生或 Agent 产品从设计到上线的完整落地经历。,misclassification
kimi-k3,tencent:2052527703940313088,腾讯,reqv2_d51e7d995d268f8f,产品判断力与用户共情能力,Strong,Partial,resume_extracted:27|resume_extracted:28|resume_extracted:resume:1:product_experience:7,resume_extracted:27|resume_extracted:resume:1:product_experience:7|resume_extracted:23,True,有客户反馈分析、用户体验优化建议和竞品分析经历，体现一定的用户理解能力，但缺少独立产品决策与判断力的直接佐证。,misclassification
kimi-k3,tencent:2052527703940313088,腾讯,reqv2_2aa26881dbfb4a32,设计可扩展方案并推动跨团队闭环,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:resume:1:product_experience:5|resume_extracted:resume:1:technical_experience:8,True,在 GoFin 项目中负责跨职能交付并具备数据架构设计能力，与可扩展方案和跨团队协同相关，但多为简历关键词，缺少具体推动项目闭环的完整事实。,misclassification
kimi-k3,greenhouse:4186650005,SES AI,reqv2_eb1153f86b18ee41,data analysis tools (Tableau/PowerBI/FineBI/SQL),Partial,Strong,resume_extracted:18|resume_extracted:resume:1:skills:4,resume_extracted:18|resume_extracted:resume:1:skills:4|resume_extracted:30|resume_extracted:19,True,候选人在KPay实习中设计SQL触发器与自动化ETL，并在项目中用Python处理百万级数据开展EDA，SQL与数据分析工具能力有直接事实证据支撑；Tableau/PowerBI/FineBI虽未单独证明，但SQL已满足该OR型工具要求。,misclassification
kimi-k3,tencent:2077246089718837248,腾讯,reqv2_f2105cecb6db9371,B 端 / 数据 / AI / 研发效能平台或企业内部系统产品经验,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:21|resume_extracted:23|resume_extracted:18,True,候选人在 GoFin 智能财务目标管理平台担任 Product Owner，负责需求、Backlog、LLM 集成与 RAG 等完整产品交付，属于 AI/数据平台类产品实践；另有中国电子云 AI 大模型实习中的产品需求与竞品分析，以及 KPay 的数据架构与 ETL 搭建经验。,misclassification
kimi-k3,tencent:2013806539382611968,腾讯,reqv2_d9a6fa37fdf720f1,将数据工作流抽象为可执行可评估的产品方案,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:28|resume_extracted:18,True,作为 GoFin Product Owner 负责需求拆解、产品流程与 Backlog 管理，具备业务抽象与方案拆解能力；但将数据工作流抽象为可执行可评估产品方案的完整案例证据有限。,misclassification
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_b6cf969fde1203cf,数据产品策划或运营经验,Partial,Strong,resume_extracted:16|resume_extracted:18|resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:19|resume_extracted:20,True,担任 GoFin 产品 Owner 负责需求、Backlog 与交付，并在 KPay 设计增长运营框架、KPI 监控体系与业务分析报告，兼具数据产品策划与运营实操。,misclassification
kimi-k3,tencent:2047239002926510080,腾讯,reqv2_468aa07a31e8d40c,LLM、Prompt、RAG 与 Agent 实践经验,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,GoFin 项目中负责 LLM 集成、RAG 与对话式目标创建，AI 经历亦列明大模型应用开发与 RAG 文件分析，具备直接实践经验；Prompt 工程与 Agent 可结合项目进一步说明。,misclassification
kimi-k3,tencent:2078278970276753408,腾讯,reqv2_f982055a8756f25d,熟悉企业经营管理流程,Missing,Partial,,resume_extracted:16|resume_extracted:19|resume_extracted:20,True,候选人在KPay Group设计过运营框架、KPI监控与绩效分析体系，并为多团队提供业务洞察，与企业经营管理有一定相关性。但缺乏直接参与企业整体经营管理流程（如合同、采购、财务流程）的证据。,misclassification
kimi-k3,tencent:2041409199149314048,腾讯,reqv2_2a8d6b3110257858,AI / 策略 / 评测产品相关经验,Partial,Strong,resume_extracted:28|resume_extracted:21,resume_extracted:21|resume_extracted:28|resume_extracted:23|resume_extracted:resume:1:ai_experience:11,True,候选人在中国电子云担任AI大模型实习生，参与产品需求讨论与竞品分析，并在GoFin项目以Product Owner身份交付LLM集成产品，具备模型性能评估经历，直接对应AI产品相关经验。,misclassification
kimi-k3,xsolla:252b30e5-ce58-4a32-88b3-07ee83d06e67,Xsolla,reqv2_866eff0ae6a7bf23,already uses AI tooling to build/ship faster,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,True,在GoFin项目中主导LLM集成与RAG对话式功能交付，简历亦明确列出大语言模型应用开发与RAG文件分析经历，直接证明日常借助AI工具加速构建与交付。,misclassification
kimi-k3,tencent:2083093175941115904,腾讯,reqv2_cd8c089c6f3c4688,通过 AB 实验驱动产品迭代,Missing,Partial,,resume_extracted:19,True,候选人有基于数据分析优化转化路径的经验，与实验驱动迭代相关，但证据中没有明确的AB实验设计或实操记录，该具体能力未被直接证明。,misclassification
