model,job_id,company,requirement_id,normalized_requirement,ground_truth_label,predicted_label,gt_evidence_ids,predicted_evidence_ids,grounding_valid,normalized_reason,error_type
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_379e8bc24f903143,C 端 AI 产品经验（LLM/Agent 等方向产品化落地）,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4|resume_extracted:21,True,有LLM与RAG产品化落地经验，但未提供语音交互（ASR）或多模态交互的直接证据，C端场景覆盖不完整。,misclassification
qwen3.8-max,tencent:1978467627152072704,腾讯,reqv2_331e5372454cf54a,系统性思考、问题拆解与从 0 到 1,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:18|resume_extracted:resume:1:product_experience:9,True,作为GoFin Product Owner独立负责需求、Backlog及LLM集成等从0到1模块，并在KPay设计增长策略框架与数据架构，展现系统性思考与问题拆解能力。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_5dfabc3bf0e9566f,具有 AI 原生或 Agent 产品完整落地经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:product_experience:9,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,GoFin 项目中负责 LLM 集成与 RAG 应用，中国电子云实习参与大模型方向探索，具备 AI 原生产品实践经验。但现有证据未明确体现独立主导 Agent 产品从 0 到 1 的完整落地闭环。,misclassification
qwen3.8-max,tencent:2052527703940313088,腾讯,reqv2_8a7ced10d1e674e6,从 0 到 1 主导项目并取得可验证成果,Partial,Strong,resume_extracted:28,resume_extracted:28|resume_extracted:30|resume_extracted:16,True,作为 GoFin 平台 Product Owner 负责全流程交付，并作为负责人主导银行账户欺诈数据分析项目，体现了从 0 到 1 的主导能力。KPay 实习中搭建数据架构与增长策略也佐证了项目落地与成果验证经历。,misclassification
qwen3.8-max,tencent:2013806539382611968,腾讯,reqv2_d9a6fa37fdf720f1,将数据工作流抽象为可执行可评估的产品方案,Strong,Partial,resume_extracted:18|resume_extracted:28|resume_extracted:resume:1:technical_experience:8,resume_extracted:28|resume_extracted:18|resume_extracted:resume:1:technical_experience:8,True,具备产品需求拆解、数据架构设计及LLM集成经验，但缺乏将复杂数据工作流显式抽象为标准化、可评估产品方案的直接描述。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_b6cf969fde1203cf,数据产品策划或运营经验,Partial,Strong,resume_extracted:16|resume_extracted:18|resume_extracted:28,resume_extracted:28|resume_extracted:16|resume_extracted:20,True,作为GoFin平台Product Owner负责需求与产品流程，并在KPay主导增长策略与运营框架设计，具备完整的数据产品策划运营经验。,misclassification
qwen3.8-max,tencent:2047239002926510080,腾讯,reqv2_468aa07a31e8d40c,LLM、Prompt、RAG 与 Agent 实践经验,Partial,Strong,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4,resume_extracted:28|resume_extracted:resume:1:ai_experience:0|resume_extracted:resume:1:ai_experience:4|resume_extracted:21,True,在GoFin项目中负责LLM集成与RAG，且简历AI经历包含大模型应用开发与RAG文件分析，具备直接实践经验。,misclassification
qwen3.8-max,tencent:2078278970276753408,腾讯,reqv2_f982055a8756f25d,熟悉企业经营管理流程,Missing,Partial,,resume_extracted:28|resume_extracted:16|resume_extracted:resume:1:domain_experience:0,True,候选人有GoFin智能财务平台Product Owner经历及渠道增长运营框架设计经验，涉及部分业务流程梳理，但缺乏明确的企业通用经营管理流程（如ERP、OA、供应链等）实操证据。现有证据仅能支撑对业务流转的理解，无法证明熟悉企业级经营管理体系。,misclassification
qwen3.8-max,tencent:2041409199149314048,腾讯,reqv2_2a8d6b3110257858,AI / 策略 / 评测产品相关经验,Partial,Strong,resume_extracted:28|resume_extracted:21,resume_extracted:28|resume_extracted:21|resume_extracted:23|resume_extracted:resume:1:ai_experience:11,True,GoFin项目中负责LLM集成与对话式目标创建，中国电子云实习参与大模型应用探索与竞品分析，且简历明确列出模型性能评估经历，充分证明AI/策略/评测产品相关经验。,misclassification
qwen3.8-max,tencent:2041409199149314048,腾讯,reqv2_23a50d8ef3c57335,ASR / 大模型 / 智能对话 / AI 搜索 / 语音助手方向经验,Strong,Partial,resume_extracted:28|resume_extracted:resume:1:ai_experience:0,resume_extracted:28|resume_extracted:21|resume_extracted:resume:1:ai_experience:0,True,具备大模型与智能对话（GoFin对话式目标、LLM集成）的直接经验，但缺少ASR、语音助手或AI搜索方向的专项实践证据。,misclassification
qwen3.8-max,huawei:28183,华为,reqv2_a7e657643b65384a,快速掌握新技术的能力,Partial,Strong,resume_extracted:21|resume_extracted:28|resume_extracted:29,resume_extracted:resume:1:education:0|resume_extracted:21|resume_extracted:28|resume_extracted:29,True,拥有金融科技与 AI 双硕士跨学科背景，并在实习和个人项目中主动探索 LLM 应用、RAG 集成及 NLP 情感分析等新技术，展现了快速掌握并应用前沿技术的能力。,misclassification
qwen3.8-max,tencent:2083093175941115904,腾讯,reqv2_b741297aa944df7f,用户增长、增长运营或内容平台产品经验,Strong,Partial,resume_extracted:16|resume_extracted:19|resume_extracted:resume:1:domain_experience:3,resume_extracted:16|resume_extracted:resume:1:domain_experience:3,True,候选人有明确的增长运营实习经历和领域标签，但缺乏内容平台产品的直接经验，仅覆盖增长运营部分要求。,misclassification
