job_id,job_title,role_family,career_stage,requirement_id,requirement_text,draft_taxonomy,draft_importance,human_taxonomy_decision,human_match_label,human_match_notes,importance_status,human_review_status,adjudicated_at
v2paste:2bb44a57a387a772,用户增长-用户运营管培生,mismatched_control,unknown,v2real_e413799455fb,通过裂变拉新、外部引流等方式提升私域用户规模，制定用户分层策略并优化转化路径,matchable,Important,,Partial,Channel-growth and conversion-path experience; lacks direct 裂变拉新 / private-domain acquisition execution.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2bb44a57a387a772,用户增长-用户运营管培生,mismatched_control,unknown,v2real_dbdc8bbad742,私域内容运营:策划朋友圈 SOP、社群活动，提升用户活跃度与粘性，定期发布互动信息,matchable,Important,,Missing,"No direct evidence of private-domain content operations, Moments SOP, community activity operations or recurring community-content execution.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:2bb44a57a387a772,用户增长-用户运营管培生,mismatched_control,unknown,v2real_839fd0328615,通过 SCRM 系统分析用户，优化分层策略，通过数据反馈优化运营方案,matchable,Important,,Partial,User/data analysis and segmentation experience; no direct SCRM-system usage or ownership.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:74c7e52f7d3795f1,产品经理,general_product,campus_new_grad,v2real_83d2d0e02ead,负责用户需求的调研、分析、评估和原型设计,matchable,Important,,Partial,Direct user-requirement analysis and product-flow experience; explicit prototype-design/tool evidence incomplete.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:74c7e52f7d3795f1,产品经理,general_product,campus_new_grad,v2real_771f943fd3df,推动、协调产品功能的开发、测试和发布,matchable,Important,,Strong,"Direct cross-functional delivery experience covering product development, testing coordination and iterative release.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:74c7e52f7d3795f1,产品经理,general_product,campus_new_grad,v2real_01d10aea11b3,定期对行业相关产品进行评估，并提出功能优化、用户体验升级等方面建议,matchable,Important,,Strong,Direct competitor/product analysis and customer-experience optimization evidence.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:74c7e52f7d3795f1,产品经理,general_product,campus_new_grad,v2real_df9143338be0,关注AI在工作中的实际应用，能借助AI拓展认知边界，优化基础工作,matchable,Important,matchable,Strong,"Extensive direct AI application/product-building experience, exceeding the requirement to practically use AI to improve work.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:1bcbc456132ab15e,游戏AI产品经理（北京）,ai_product,campus_new_grad,v2real_84e47b93a153,挖掘AI产品在游戏中应用的场景，并将AI产品深度结合在游戏体验中,matchable,Important,,Partial,Direct AI product use-case and delivery experience; lacks gaming-industry and game-experience AI product evidence.,lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:1bcbc456132ab15e,游戏AI产品经理（北京）,ai_product,campus_new_grad,v2real_d2e91437dbe7,负责项目交付，包括制定目标、协调开发、测试、设计等团队，确保产品按时、高质量上线，并回收数据,matchable,Important,,Strong,"Direct end-to-end project delivery and cross-functional coordination experience covering goals, delivery and iteration.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:1bcbc456132ab15e,游戏AI产品经理（北京）,ai_product,campus_new_grad,v2real_45e2bfd0d8e3,通过数据分析工具，监测产品及策略效果，根据数据结果不断调整和优化产品策略,matchable,Important,,Strong,"Strong direct data-analysis, KPI, SQL/Python and strategy-optimization evidence.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
v2paste:1bcbc456132ab15e,游戏AI产品经理（北京）,ai_product,campus_new_grad,v2real_6b4ea8791334,有较好的文档梳理沉淀的习惯，有大型项目交付经验，有平台产品设计经验,matchable,Important,,Partial,"Documentation, Product Owner delivery and platform-style product experience; lacks repeated large-scale project delivery and dedicated platform-product ownership at scale.",lightweight_not_exhaustively_human_verified,accepted,2026-09-02T13:17:06.541286+00:00
